algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,10,3.680699181246503,0.8700873112678528,0.5128060181935629,0.0,0.10210128716732327,0.0,1000.0,1.0,0.0,3.6806991812465033,0.0,0.0,0.0,0.10179770983857178,0.0,0.2883906544823396,0.0,1.4409676037336652,0.0,3.6806991812465033,4.440892098500626e-16,3.0,0.9953932043354318,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,11,3.9503691069623104,0.8736083116134008,0.49114679902791974,0.0,0.09476620165838136,0.0,1000.0,1.0,0.0,3.9503691069623095,0.0,0.0,0.0,0.09413748368613885,0.0,0.2867632847693231,0.0,1.3450901508331299,0.0,3.9503691069623095,8.881784197001252e-16,3.25,0.9948648484568616,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,12,4.381141664647916,0.8765676440795263,0.4728001057108243,0.0,0.08739180862903595,0.0,1000.0,1.0,0.0,4.381141664647916,0.0,0.0,0.0,0.08879198359801424,0.0,0.30591183358972723,0.0,1.7177583195946433,0.0,4.381141664647916,0.0,3.5,0.9946741391902765,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,13,5.077984406321519,0.8789819784959158,0.45782762904961904,0.0,0.08145621944876279,0.0,1000.0,1.0,0.0,5.077984406321519,0.0,0.0,0.0,0.07952285597821795,0.0,0.26882926506154675,0.0,1.2216743932050818,0.0,5.077984406321519,0.0,3.75,0.994225232972651,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,14,5.641773476393221,0.8812003101905187,0.4447328876455625,0.0,0.0764885362651613,0.0,1000.0,1.0,0.0,5.64177347639322,0.0,0.0,0.0,0.0817043197626801,0.0,0.3438057071632809,0.0,1.7672227885988023,0.0,5.64177347639322,8.881784197001252e-16,4.0,0.9941198361035669,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,15,5.878725864407558,0.8828729770580928,0.43389138996601107,0.0,0.0719094555824995,0.0,1000.0,1.0,0.0,5.878725864407557,0.0,0.0,0.0,0.07405363145101676,0.0,0.33343083783984184,0.0,1.2156672328710556,0.0,5.878725864407557,8.881784197001252e-16,4.25,0.9937306840740707,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,16,6.187782732459853,0.8844616470734278,0.42433485309282937,0.0,0.0686312886801633,0.0,1000.0,1.0,0.0,6.187782732459851,0.0,0.0,0.0,0.07540209852333923,0.0,0.335736635056409,0.0,1.4256777329878374,0.0,6.187782732459851,1.7763568394002505e-15,4.5,0.9935503586651878,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,17,6.593145152776143,0.8857786424954732,0.4160814595222473,0.0,0.0645910338498652,0.0,1000.0,1.0,0.0,6.593145152776144,0.0,0.0,0.0,0.06063961463641221,0.0,0.23919826932251453,0.0,0.9938266463577747,0.0,6.593145152776144,1.7763568394002505e-15,4.75,0.9931682102606212,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,18,7.126402503367985,0.8870176432530085,0.4088212681810061,0.0,0.062056454131379724,0.0,1000.0,1.0,0.0,7.126402503367987,0.0,0.0,0.0,0.06910715876229623,0.0,0.35469580441713333,0.0,1.117358859628439,0.0,7.126402503367987,1.7763568394002505e-15,5.0,0.9927040937060052,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,19,7.827636477205133,0.8881479750076929,0.40241935014724733,0.0,0.060476917434822426,0.0,1000.0,1.0,0.0,7.827636477205134,0.0,0.0,0.0,0.054069204178579695,0.0,0.2230928899212317,0.0,1.0109612074765293,0.0,7.827636477205134,8.881784197001252e-16,5.25,0.9924865613607718,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,20,8.353121235788436,0.8891043112675349,0.39661875665187835,0.0,0.05772425457835197,0.0,1000.0,1.0,0.0,8.353121235788437,0.0,0.0,0.0,0.047446033101793246,0.0,0.18000071843465168,0.0,0.8391931255658468,0.0,8.353121235788437,1.7763568394002505e-15,5.5,0.9921437455745103,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,21,8.73497600974443,0.8899159765243531,0.39146643469731013,0.0,0.056713925364116825,0.0,1000.0,1.0,0.0,8.734976009744429,0.0,0.0,0.0,0.056343484661995964,0.0,0.32620950043201447,0.0,1.0627964287996292,0.0,8.734976009744429,1.7763568394002505e-15,5.75,0.9919530744898083,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,22,9.197135298642,0.8907236446936925,0.3870179075996081,0.0,0.05384219379017228,0.0,1000.0,1.0,0.0,9.197135298641998,0.0,0.0,0.0,0.04750316466468535,0.0,0.30080625061926086,0.0,0.7200416075555902,0.0,9.197135298641998,1.7763568394002505e-15,6.0,0.991435009551644,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,23,9.75621094868342,0.8914803123474121,0.3828069328268369,0.0,0.051770883110853344,0.0,1000.0,1.0,0.0,9.75621094868342,0.0,0.0,0.0,0.05405579776253454,0.0,0.35570965936550725,0.0,1.0526387691497803,0.0,9.75621094868342,0.0,6.25,0.9911864702951593,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.05,iid,1.0,99999,24,10.431681944047087,0.8920366434256236,0.3793050597111384,0.0,0.0507659820218881,0.0,1000.0,1.0,0.0,10.431681944047087,0.0,0.0,0.0,0.04903413481846601,0.0,0.27713407824436825,0.0,0.884645426273346,0.0,10.431681944047087,0.0,6.5,0.9908492148554009,0.0
