algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,34,6.319432527389425,0.7531637323709826,1.4862974561750888,0.8372481469882034,3.289186790585518,0.9999999791383744,1000.0,0.7742807491793783,0.9113636363636364,4.530863778135276,0.0,128.24731772286552,0.0,2940.5693439933266,0.0,11.145492894308907,14.549037623405457,128.24731772286552,0.0,0.7309453971683979,0.0,0.804112593398633,0.0,4.530863778135276,1.075403455205414,0.7309453971683979,0.804112593398633,14.962187067667644,343.066423465888
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,35,6.319432527389425,0.7796916463722785,1.1620327709863583,0.8952164009111617,3.9677905837694802,0.999999984105428,1000.0,0.8800696690719084,0.9108936389389647,4.570740406311499,0.0,125.19374889797635,0.0,3187.9382989811947,0.0,6.854305038849513,2.2140060206254324,125.19374889797635,0.0,0.7430551327351067,0.0,0.7857750412987721,0.0,4.570740406311499,1.0812736816963193,0.7430551327351067,0.7857750412987721,9.389531167348226,239.09537242358957
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,36,6.842529588594089,0.7812237306808432,1.0588277312616508,0.9160876536611439,2.6887130783154416,0.9999999811251958,1000.0,0.9227456258411844,0.9095250729636508,4.619213576320269,0.0,129.3491498506986,0.0,3551.7691176456115,0.0,1.4935278584464238,2.1323361496130624,129.3491498506986,0.0,0.6853205544444231,0.0,0.8107188752616852,0.0,4.619213576320269,1.059941599055077,0.6853205544444231,0.8107188752616852,7.006412283579508,192.38749387247063
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,37,6.8956851006493505,0.7785478982453545,1.158048161243399,0.8807476635514019,3.957532058591428,0.9999999821186065,1000.0,0.8530050687907313,0.910355486862442,4.723122412005686,0.0,118.55018648893937,0.0,3288.7246420080432,0.0,23.37741912966189,2.859691882133484,118.55018648893937,0.0,0.7794159683196441,0.0,0.7426384769428102,0.0,4.723122412005686,1.0012310028712763,0.7794159683196441,0.7426384769428102,11.361059538523357,315.1694448591042
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,38,6.8956851006493505,0.7680328972948094,1.3773345789561668,0.8498704809100124,4.298976063856791,0.9999999791383744,1000.0,0.7956558414171235,0.9120135363790186,4.797594784111749,0.0,117.41639841013941,0.0,3066.7425251194886,0.0,63.451125128515834,5.182593607902527,117.41639841013941,0.0,0.7726954994402055,0.0,0.7362536862250925,0.0,4.797594784111749,1.0118846828425556,0.7726954994402055,0.7362536862250925,14.187814807891845,370.56472178527144
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,39,7.049702900825677,0.7642112302283446,1.562645576397578,0.8620689655172414,3.205141249423226,0.9999999920527141,1000.0,0.8182413266419376,0.9108574204517853,4.8876110569285025,0.0,122.71930122375488,0.0,3074.3665138729034,0.0,13.419547645530352,5.579640889167786,122.71930122375488,0.0,0.6996532953344285,0.0,0.7690611670454279,0.0,4.8876110569285025,0.9780972733422115,0.6996532953344285,0.7690611670454279,12.271930122375489,307.43665138729034
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,40,7.082551607705475,0.7645012302013735,1.3599916024754444,0.8671458381636912,3.915079168651415,0.9999999910593033,1000.0,0.8270676691729323,0.9113060428849903,4.957701901408504,0.0,116.2664964095406,0.0,2854.587973254536,0.0,19.44642231775367,5.345301628112793,116.2664964095406,0.0,0.7503388640673264,0.0,0.7288977183989686,0.0,4.957701901408504,1.00987159417125,0.7503388640673264,0.7288977183989686,11.142205905914306,273.5646807702263
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,41,7.082551607705475,0.7598837312621375,1.811251947035392,0.8551418232753589,4.651338468704905,0.9999999860922496,1000.0,0.8089664310954063,0.906907650408517,5.0467774499235345,0.0,115.91321917942592,0.0,2776.2414647050455,0.0,49.41157979624612,5.002712066968282,115.91321917942592,0.0,0.7377057924334492,0.0,0.725786789825752,0.0,5.0467774499235345,1.0711667360597,0.7377057924334492,0.725786789825752,13.523208904266358,323.8948375489219
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,42,7.082551607705475,0.7498716481029988,1.8373016866544882,0.8502994011976048,3.2717310587565103,0.999999984105428,1000.0,0.7982420278004906,0.9096203121360354,5.120839320161219,0.0,124.71214167277019,0.0,3068.7485215796605,0.0,5.748397588729858,9.81107976436615,124.71214167277019,0.0,0.6205951615702361,0.0,0.7817895778396545,0.0,5.120839320161219,1.0819405468051078,0.6205951615702361,0.7817895778396545,12.471214167277019,306.8748521579661
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,43,7.658335852640157,0.749750399030745,2.060728680714965,0.8491761723700888,3.3439821590270316,1.0000000059604646,1000.0,0.7996961805555556,0.9051830017194793,5.2977003973171675,0.0,118.38695798601422,0.0,2942.5580418441245,0.0,32.9560238059078,6.24399444659551,118.38695798601422,0.0,0.6719504099871431,0.0,0.74236727328622,0.0,5.2977003973171675,0.9895051673587619,0.6719504099871431,0.74236727328622,13.811811765034994,343.29843821514794
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,44,7.734806773431233,0.7814753968268633,1.1583206259955963,0.8995721117543417,4.443431079387665,0.9999999791383744,1000.0,0.8859692612791275,0.91359918200409,5.362087442444773,0.0,108.95075416564941,0.0,2717.0252483793292,0.0,3.1021703325677663,4.012335586547851,108.95075416564941,0.0,0.7608370184898376,0.0,0.6828919883920284,0.0,5.362087442444773,1.012809658153045,0.7608370184898376,0.6828919883920284,7.263383611043294,181.13501655862194
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,45,7.89214785989714,0.7464453966667255,2.3779472378393014,0.8261329944938585,4.020656565532965,0.9999999781449636,1000.0,0.7570347370463808,0.9091120950827313,5.497217686121796,0.0,110.81474102244658,0.0,3079.3220957942794,0.0,66.77997248313007,12.207315508524577,110.81474102244658,0.0,0.7215499902034507,0.0,0.6940363657289467,0.0,5.497217686121796,1.0501746594906605,0.7215499902034507,0.6940363657289467,15.698754978179931,436.2372969041895
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,46,8.27083017825951,0.7645033136941493,1.327764156460762,0.8709529276693455,4.70378999710083,0.9999999811251958,1000.0,0.8325285338015803,0.9130958112662494,5.57346943363489,0.0,108.49680557250977,0.0,2923.9985805042115,0.0,8.30707613825798,6.692142033576966,108.49680557250977,0.0,0.7284922679886222,0.0,0.680066512551236,0.0,5.57346943363489,1.0677059201562495,0.7284922679886222,0.680066512551236,9.041400464375814,243.66654837535097
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,47,8.27083017825951,0.7359799795473615,2.6936043129613,0.8284364084651736,4.415535486977676,0.9999999860922496,1000.0,0.7616169248205515,0.9081081081081082,5.700561048800813,0.0,111.10009739316743,0.0,2528.583324909857,0.0,18.608803847740436,22.361228307088215,111.10009739316743,0.0,0.6776478135123335,0.0,0.6966493201159982,0.0,5.700561048800813,1.105094924241164,0.6776478135123335,0.6966493201159982,13.424595101674397,305.53715175994097
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,48,8.27083017825951,0.7596345637304087,nan,0.8697811945594323,4.558296183745067,nan,1000.0,0.8320887078524553,0.9110505450941526,5.800679135362671,0.0,111.00813833872478,0.0,2536.762726552775,0.0,66.45312345027924,nan,111.00813833872478,0.0,0.660774365067482,0.0,0.6951034361583751,0.0,5.800679135362671,1.111932600373946,0.660774365067482,0.6951034361583751,11.100813833872477,253.6762726552775
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,49,8.762937136382625,0.7562970634239415,nan,0.8844011142061282,4.554781059920788,nan,1000.0,0.8438538205980066,0.9290416971470373,5.853361551842977,0.0,107.66418724060058,0.0,2412.9289731229674,0.0,nan,nan,107.66418724060058,0.0,0.6798060424625874,0.0,0.6750594061794284,0.0,5.853361551842977,1.1477872154299793,0.6798060424625874,0.6750594061794284,8.972015603383381,201.07741442691395
