algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,20,8.605212275955832,0.5745170700053374,1.9334949649870397,0.6697466467958272,6.5023109844752724,0.5473553210496902,1000.0,0.5327169274537695,0.901685393258427,140.55518548148018,0.0,6.572480067719666,0.0,1522.5318047997737,0.0,0.8809554735050634,0.0,140.55518548148018,0.0,1007.4008819580079,396.3218688964844,0.8475233001368386,0.0,6.572480067719666,0.7062150810054308,0.8475233001368386,0.8809554735050634,40.995262432098386,444.0717763999339
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,21,8.679312632672318,0.5465624877562125,2.203806127856175,0.6563696008747949,6.976821753184001,0.7995819181203843,1000.0,0.5155679622074297,0.902971041745017,136.58137298583983,0.0,6.745554400395571,0.0,1396.9088375216002,0.0,0.8561328399499692,0.0,136.58137298583983,0.0,1329.8905989583334,666.995816040039,0.8656091992060343,0.0,6.745554400395571,0.7576909814292329,0.8656091992060343,0.8561328399499692,42.68167905807495,436.5340117255
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,22,8.721709086816245,0.5187741526402533,2.7134136942525706,0.690072813784154,6.840687289604774,0.9999999781449636,1000.0,0.5585249153926946,0.9026782346284421,139.8546662550706,0.0,6.893042881751288,0.0,1240.9372198622784,0.0,0.8759395629769842,0.0,139.8546662550706,0.0,953.5982989971454,550.1734115600586,0.8242546475850618,0.0,6.893042881751288,0.7981007570557505,0.8242546475850618,0.8759395629769842,37.87730544408162,336.0871637127004
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,23,8.89866170931933,0.5152133192556599,3.059072457502286,0.6884966713113485,6.659275840967894,0.999999984105428,1000.0,0.5563618165895158,0.9029441624365482,140.3307592868805,0.0,7.03637840676638,0.0,1265.9317707847913,0.0,0.8795157246627379,0.0,140.3307592868805,0.0,979.6216695308685,291.89614804585773,0.80423224857077,0.0,7.03637840676638,0.8109282498304186,0.80423224857077,0.8795157246627379,37.4215358098348,337.581805542611
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,24,9.142935872850783,0.4954416532690326,3.8721294045448302,0.6182044887780549,7.2135981068891635,0.9999999811251958,1000.0,0.47102413072392174,0.8991657598839318,137.59758228975184,0.0,7.2323536300429785,0.0,1106.6421351347826,0.0,0.862880078313177,0.0,137.59758228975184,0.0,1626.7090612074908,866.8748931884766,0.8117405917714624,0.0,7.2323536300429785,0.8396861231679607,0.8117405917714624,0.862880078313177,48.73247706095378,391.9357561935689
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,25,9.480264409180828,0.5245987352294227,3.483209268997113,0.7164106709781731,7.189160672284789,0.999999984105428,1000.0,0.5927759197324415,0.9052093973442288,136.76232509289758,0.0,7.346735612985706,0.0,1035.7004767489595,0.0,0.8577644945708363,0.0,136.76232509289758,0.0,931.7272915597689,313.8181729634603,0.8034320380222999,0.0,7.346735612985706,0.8521568848906705,0.8034320380222999,0.8577644945708363,33.62073825200399,254.60970053411918
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,26,10.005995447699613,0.5038891534941892,3.9699723641077678,0.6527729696046528,7.012806156476339,0.9999999831120173,1000.0,0.5113352858227573,0.9023736600306279,136.88151692708334,0.0,7.499915880565884,0.0,1200.2373681988909,0.0,0.8582249704989777,0.0,136.88151692708334,0.0,1403.4045467122396,431.6348607381185,0.7871758325894673,0.0,7.499915880565884,0.8568537153275182,0.7871758325894673,0.8582249704989777,42.775474039713544,375.07417756215347
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,27,10.005995447699613,0.5257749852724374,3.7484064114590487,0.7299553157406626,6.6317904060537165,0.9999999821186065,1000.0,0.6126521369940561,0.90281543274244,139.95610531893644,0.0,7.613846301435204,0.0,1203.769841106318,0.0,0.8774296298913895,0.0,139.95610531893644,0.0,675.4119925759055,207.57775904337566,0.7438577912070534,0.0,7.613846301435204,0.8532563055728355,0.7438577912070534,0.8774296298913895,32.0732741355896,275.8639219201978
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,28,10.452064986208553,0.5103366530500353,4.3687168670197325,0.6314512868885594,7.324142895638943,0.9999999761581421,1000.0,0.486806565551631,0.8983895705521472,134.28863792419435,0.0,7.796502725048877,0.0,1056.4510577191159,0.0,0.8424634875534984,0.0,134.28863792419435,0.0,1625.3866008758546,571.3173721313476,0.77832614146173,0.0,7.796502725048877,0.8563013794518918,0.77832614146173,0.8424634875534984,44.762879308064775,352.1503525730386
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,29,10.452064986208553,0.503482070316871,4.657682203749816,0.6326832548755884,6.882604694366455,0.9999999831120173,1000.0,0.48736013261500205,0.9014948256036796,136.38361892700195,0.0,7.960914316753668,0.0,1098.6025979009396,0.0,0.8555218529587056,0.0,136.38361892700195,0.0,1652.569829940796,400.86953786214195,0.7430396344512701,0.0,7.960914316753668,0.8257654814250955,0.7430396344512701,0.8555218529587056,45.46120630900065,366.20086596697985
