algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,27,2.9358251666442055,0.7226462311732272,1.3993629689017932,0.8878563355519277,6.331536364555359,0.9999999850988388,1000.0,0.8683370179317121,0.908273381294964,0.7426717784255743,0.0,6074.013180057075,0.0,305.2591148376465,0.0,2.087708135201515,0.0,1.912531108485402,0.0,19.32044509612024,0.6629989991585413,305.2591148376465,0.0,1.912531108485402,0.0,2.087708135201515,0.5760036624819225,0.7426717784255743,1.912531108485402,25.438259569803872,506.1677650047562
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,28,2.9358251666442055,0.7143074820749462,1.4038553493718307,0.8606811145510836,6.501085065878355,0.9999999731779099,1000.0,0.8151607298001737,0.9115861063881467,0.783806579044232,0.0,5400.994170691154,0.0,292.3776391836313,0.0,2.1198795606326777,0.0,1.8314527298829122,0.0,42.55712721668757,1.1736602207024893,292.3776391836313,0.0,1.8314527298829122,0.0,2.1198795606326777,0.5712335942734947,0.783806579044232,1.8314527298829122,31.67424424489339,585.1077018248751
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,29,2.9358251666442055,0.7185566480271518,1.544739767163992,0.8669881218393509,7.156357670823733,0.9999999900658926,1000.0,0.8279424977538186,0.909898790422118,0.7692264864842097,0.0,5709.583973766959,0.0,293.45443471272785,0.0,2.1597612196053215,0.0,1.8348571860290335,0.0,57.51402239066859,0.8634550015131632,293.45443471272785,0.0,1.8348571860290335,0.0,2.1597612196053215,0.5459656497226263,0.7692264864842097,1.8348571860290335,29.345443471272787,570.958397376696
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,30,2.9358251666442055,0.701470815949142,1.6494066086908181,0.8427937915742794,6.392842736737482,0.9999999731779099,1000.0,0.7871194864361152,0.9069434502505369,0.7142261174218408,0.0,6026.23159477135,0.0,302.5380790973532,0.0,2.1828072234131044,0.0,1.897666458949425,0.0,107.66723007991396,4.574189615249634,302.5380790973532,0.0,1.897666458949425,0.0,2.1828072234131044,0.5526102425264117,0.7142261174218408,1.897666458949425,36.556684557596846,728.1696510348713
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,31,2.9358251666442055,0.7218270646718641,1.4610506904621918,0.8826462361668491,7.468104207515717,0.9999999860922496,1000.0,0.8571091166745395,0.9097518174981198,0.7375549897551537,0.0,5506.977088332263,0.0,293.78818969726564,0.0,2.2012405118701475,0.0,1.8445931547915726,0.0,6.5530352056026455,1.1202648103237152,293.78818969726564,0.0,1.8445931547915726,0.0,2.2012405118701475,0.5600111582935197,0.7375549897551537,1.8445931547915726,24.482349141438803,458.9147573610219
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,32,2.9358251666442055,0.6928949832605819,1.751060028374195,0.8360850329124853,6.878270568518803,0.9999999761581421,1000.0,0.7765083183002606,0.9055633473585788,0.7766977877452456,0.0,5871.289053536123,0.0,282.29983415274785,0.0,2.264259304465571,0.0,1.7695111743834546,0.0,69.87702205263335,11.181192392110825,282.29983415274785,0.0,1.7695111743834546,0.0,2.264259304465571,0.48864765716111963,0.7766977877452456,1.7695111743834546,34.1112299601237,709.4474273022814
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,33,2.9358251666442055,0.7256416494647662,1.4043866095443567,0.8944686140459912,6.894497632980347,0.9999999821186065,1000.0,0.875,0.9148232901093313,0.7368263353904089,0.0,5540.822949260384,0.0,288.0505947536892,0.0,2.289604248196139,0.0,1.8088885683765992,0.0,14.154368598014116,1.2581385850906373,288.0505947536892,0.0,1.8088885683765992,0.0,2.289604248196139,0.47049318733887174,0.7368263353904089,1.8088885683765992,21.603794606526694,415.56172119452884
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,34,2.9358251666442055,0.7012983164439599,1.6544343911111354,0.8371607515657621,6.7801074385643005,0.9999999831120173,1000.0,0.7741312741312741,0.9113636363636364,0.7152497065918786,0.0,5731.749573899874,0.0,290.47518103463307,0.0,2.313952531914426,0.0,1.8213687371674807,0.0,38.164092012814116,42.57442801793416,290.47518103463307,0.0,1.8213687371674807,0.0,2.313952531914426,0.47590367354687724,0.7152497065918786,1.8213687371674807,33.8887711207072,668.7041169549852
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,35,2.9382873468385893,0.7216378984662394,1.456210966904958,0.8953826691967108,8.057494097285801,0.9999999870856603,1000.0,0.8799104922923918,0.9114087046098378,0.7240484125084348,0.0,5915.092195634896,0.0,285.3035066392687,0.0,2.3294355365217303,0.0,1.7907877386869073,0.0,22.667922142479156,1.6709179282188416,285.3035066392687,0.0,1.7907877386869073,0.0,2.3294355365217303,0.47938634580644496,0.7240484125084348,1.7907877386869073,21.39776299794515,443.63191467261726
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,36,3.1814561926777,0.7235933159478009,1.3739232188711563,0.916210076172658,5.764254056490385,0.9999999811251958,1000.0,0.9229940764674206,0.9095250729636508,0.6884061344541036,0.0,6420.013860110214,0.0,290.7375793457031,0.0,2.348249672636146,0.0,1.8223808718186392,0.0,4.996224004918566,1.4123689750830333,290.7375793457031,0.0,1.8223808718186392,0.0,2.348249672636146,0.4597657229103453,0.6884061344541036,1.8223808718186392,15.748285547892253,347.75075075596993
