algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.7366609451845285,0.8610441777706146,0.5250052822828293,0.0,1.058204540184566,0.0,1000.0,0.0,0.0,1.4971653235852735,0.0,0.9009770261389869,0.0,0.9365256011068374,0.0,0.9365256011068374,0.0,149.43542643955774,0.0,2966.737708766245,0.0,149.43533761160714,0.0,14.803094216755458,0.0,1.4971653235852735,1.1293227129984327,0.9009770261389869,0.9365256011068374,8.36837890625,166.13731169090974
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.7366609451845285,0.8628035769462585,0.5144689952731133,0.0,1.131342093149821,0.0,1000.0,0.0,0.0,1.5326148196282416,0.0,0.8437608366920835,0.0,0.9774312105149285,0.0,0.9774312105149285,0.0,156.0016871861049,0.0,3215.2434335477938,0.0,156.00164140973772,0.0,11.59722205570766,0.0,1.5326148196282416,1.12680454137154,0.8437608366920835,0.9774312105149285,6.552068939208985,135.0402242090073
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.762524658091097,0.8638949775695801,0.5059848475456238,0.0,1.3835822918585368,0.0,1000.0,0.0,0.0,1.5704056760693088,0.0,0.8446066454052925,0.0,0.9689336449912703,0.0,0.9689336449912703,0.0,154.3393816266741,0.0,3207.581881244722,0.0,154.3393838065011,0.0,22.59947545187814,0.0,1.5704056760693088,1.1252879934135327,0.8446066454052925,0.9689336449912703,8.643005493164063,179.62458534970443
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.8342733240220714,0.8652985774278641,0.49741662400960923,0.0,1.2379410721006847,0.0,1000.0,0.0,0.0,1.6236189253484712,0.0,0.891866127649943,0.0,0.921896243841107,0.0,0.921896243841107,0.0,147.01846676781065,0.0,3185.4873054027244,0.0,147.01847766694567,0.0,13.014164924621582,0.0,1.6236189253484712,1.1184390659702037,0.891866127649943,0.921896243841107,6.174776062011719,133.7904668269144
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,2.8793770652873762,0.8666163784265518,0.48956936049461364,0.0,1.275682920217514,0.0,1000.0,0.0,0.0,1.6608388315696556,0.0,0.866171196103096,0.0,0.9357566995498237,0.0,0.9357566995498237,0.0,149.33313369750977,0.0,3425.5015656107134,0.0,149.33317947387695,0.0,11.168436574935914,0.0,1.6608388315696556,1.1142120244520441,0.866171196103096,0.9357566995498237,5.973327178955078,137.02006262442853
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,3.025944825233569,0.8679105780124664,0.4821689677834511,0.0,1.0313864381689775,0.0,1000.0,0.0,0.0,1.7164902424193864,0.0,0.9236092881152504,0.0,0.8812741781475462,0.0,0.8812741781475462,0.0,140.71717834472656,0.0,3304.2648946294257,0.0,140.71716067665503,0.0,9.92751505500392,0.0,1.7164902424193864,1.1059904700024403,0.9236092881152504,0.8812741781475462,5.347252105712891,125.56206599591819
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,3.052498249258105,0.8689267785549164,0.4757247288227081,0.0,1.152021884918213,0.0,1000.0,0.0,0.0,1.7558021285380188,0.0,0.8050524741411209,0.0,0.9705447890041032,0.0,0.9705447890041032,0.0,155.11713756214488,0.0,3688.229169137204,0.0,155.1171306263317,0.0,12.531944231553512,0.0,1.7558021285380188,1.1001778307455696,0.8050524741411209,0.9705447890041032,6.825153747558594,162.28208344203694
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,3.052498249258105,0.8696527776718139,0.470096842110157,0.0,1.272584672157581,0.0,1000.0,0.0,0.0,1.803413988097744,0.0,0.8474157039935772,0.0,0.928677855677367,0.0,0.928677855677367,0.0,148.23895733173077,0.0,3694.4011042809293,0.0,148.238892188439,0.0,24.640333762535683,0.0,1.803413988097744,1.0929700413872758,0.8474157039935772,0.928677855677367,7.708422393798828,192.1088574226083
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.1415515014404995,0.8706003776788711,0.46466674119234086,0.0,1.1692362162801955,0.0,1000.0,0.0,0.0,1.8536456562066574,0.0,0.8560213336238155,0.0,0.914399461430167,0.0,0.914399461430167,0.0,145.84402889675565,0.0,3709.1577153335816,0.0,145.84396701388889,0.0,16.923721454761647,0.0,1.8536456562066574,1.0872274257318044,0.8560213336238155,0.914399461430167,7.87557421875,200.2945166280134
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.1674262312729224,0.8713833785057068,0.4595953015089035,0.0,1.1130000069027854,0.0,1000.0,0.0,0.0,1.8847893876658546,0.0,0.8348337142240434,0.0,0.9239140893136925,0.0,0.9239140893136925,0.0,147.05332619803292,0.0,3894.6746701799193,0.0,147.05330185663132,0.0,11.738835698082333,0.0,1.8847893876658546,1.0844033159865292,0.8348337142240434,0.9239140893136925,6.176238677978516,163.57633614755662
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,3.2986043947575885,0.8718699780702591,0.4555633459091187,0.0,1.3081495966762304,0.0,1000.0,0.0,0.0,1.9326463548336843,0.0,0.8128676889464259,0.0,0.9338313506470673,0.0,0.9338313506470673,0.0,149.0064685344696,0.0,3977.7601284550674,0.0,149.0064718723297,0.0,24.53029876947403,0.0,1.9326463548336843,1.0796818600569875,0.8128676889464259,0.9338313506470673,9.536414199829101,254.57664822112432
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,3.2986043947575885,0.8725383784770966,0.45139347487688064,0.0,1.5114156438244715,0.0,1000.0,0.0,0.0,1.952604639403307,0.0,0.8223723736074235,0.0,0.9189734277343571,0.0,0.9189734277343571,0.0,146.5103056165907,0.0,3934.21517397236,0.0,146.51042556762695,0.0,19.993207666609024,0.0,1.952604639403307,1.0797313076334412,0.8223723736074235,0.9189734277343571,5.2743753204345705,141.631746263005
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,3.356472249185424,0.8730655788183213,0.4477539975047112,0.0,1.348919790238142,0.0,1000.0,0.0,0.0,2.005938544772108,0.0,0.8438435792922974,0.0,0.89502920775846,0.0,0.89502920775846,0.0,142.69340165456137,0.0,3977.296371047521,0.0,142.6933765411377,0.0,19.46677170197169,0.0,2.005938544772108,1.0696562261911564,0.8438435792922974,0.89502920775846,6.849282073974609,190.910225810281
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,3.356472249185424,0.8733915792703628,0.4446962231993675,0.0,1.4241808438301087,0.0,1000.0,0.0,0.0,2.0474016948836526,0.0,0.8262187099456787,0.0,0.9014329721058318,0.0,0.9014329721058318,0.0,143.77844970703126,0.0,3907.2374965163485,0.0,143.77853118896485,0.0,22.50418338775635,0.0,2.0474016948836526,1.0628700794410026,0.8262187099456787,0.9014329721058318,7.188926559448242,195.3618748258174
