algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,10,20.302652699005435,0.3435566581785679,6.826861355205377,0.0,13.50277019847523,0.09126949471731981,1000.0,0.0,0.0,0.6750656788956055,0.0,495.5597771632643,0.0,0.8655209213495254,0.0,9358.559341708096,5084.392277018229,107.65955241810192,0.0,107.65955241810192,0.0,14.090946292876595,0.0,14.090946292876595,1.6477504158350713,0.8655209213495254,0.6750656788956055,49.343961524963376,227.13156453316284
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,11,20.302652699005435,0.3418537420531114,8.127540504932403,0.0,14.049362002826127,0.08640063889324665,1000.0,0.0,0.0,0.6593714156713518,0.0,483.67984310252064,0.0,0.8755061435894888,0.0,11190.367239529969,6385.5889078776045,105.20044964649638,0.0,105.20044964649638,0.0,14.713309388572622,0.0,14.713309388572622,1.81872543365754,0.8755061435894888,0.6593714156713518,53.47689523696899,245.87058691044797
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,12,20.302652699005435,0.3435941584408283,9.644090516368548,0.0,14.684528001785278,0.08180349469184875,1000.0,0.0,0.0,0.6487521580088687,0.0,402.71662299600683,0.0,0.8769721603393554,0.0,11999.27335546875,7093.229923502604,103.50137518310547,0.0,103.50137518310547,0.0,15.42659249750434,0.0,15.42659249750434,2.044229496027863,0.8769721603393554,0.6487521580088687,53.90696624120076,209.7482411437536
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,13,21.27787656152618,0.3522316584984461,11.029869198799133,0.0,15.425548269037614,0.07737391591072082,1000.0,0.0,0.0,0.6305968704191112,0.0,373.0595620008018,0.0,0.891769515317783,0.0,13672.233317057291,4816.483744303386,100.64783196700246,0.0,100.64783196700246,0.0,16.10936863183283,0.0,16.10936863183283,2.179139367265927,0.891769515317783,0.6305968704191112,47.80772018432617,177.20329195038084
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,14,22.373945167975364,0.3596304081380367,12.397957936426003,0.0,15.554927583251681,0.07362128061552843,1000.0,0.0,0.0,0.6243757560378623,0.0,367.82048978497636,0.0,0.8856201821139881,0.0,13170.540605817523,5491.526110839844,99.57150615964618,0.0,99.57150615964618,0.0,16.766482091726587,0.0,16.766482091726587,2.2736879854742953,0.8856201821139881,0.6243757560378623,46.46670287450154,171.64956189965562
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,15,23.667866427317936,0.3643229084089398,13.851942871014277,0.0,15.808726128287937,0.06968774336079757,1000.0,0.0,0.0,0.6173834960600494,0.0,334.60849519547,0.0,0.8807892218880031,0.0,13042.14343580163,7942.040885416666,98.47511152184528,0.0,98.47511152184528,0.0,17.465668743313554,0.0,17.465668743313554,2.282591426680992,0.8807892218880031,0.6173834960600494,47.18599093755086,160.33323728116272
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,16,23.667866427317936,0.37016582377254964,15.566546616951625,0.0,16.296367710472172,0.06739202452202638,1000.0,0.0,0.0,0.6022481052002115,0.0,281.25248410484136,0.0,0.890898333146022,0.0,14382.884811531785,8748.891040039063,95.9987549741044,0.0,95.9987549741044,0.0,18.186825855940143,0.0,18.186825855940143,2.2764045171886242,0.890898333146022,0.6022481052002115,46.799393049875896,137.11058600111016
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,17,25.070873913883734,0.3771583233649532,17.363971136510372,0.0,16.78350069626518,0.06480666299661,1000.0,0.0,0.0,0.5868918137635053,0.0,270.0531072616445,0.0,0.901663020901058,0.0,16854.475390625,8299.745857747395,93.6095265927522,0.0,93.6095265927522,0.0,18.920329104572392,0.0,18.920329104572392,2.304084786974008,0.901663020901058,0.5868918137635053,44.854564825693764,129.400447229538
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,18,26.035682761040906,0.38128457392255466,19.60538353472948,0.0,16.984974439026878,0.06208692267537117,1000.0,0.0,0.0,0.5791644391805478,0.0,253.91295592069451,0.0,0.898160311530848,0.0,16910.332511526638,10182.440283203125,92.338785828137,0.0,92.338785828137,0.0,19.718939014210296,0.0,19.718939014210296,2.3971747585664107,0.898160311530848,0.5791644391805478,46.93888279596965,129.07241925968637
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,19,26.898315653540593,0.38701790776103734,21.86978483001391,0.0,17.151551750617298,0.06022925128539403,1000.0,0.0,0.0,0.5723636279491289,0.0,230.06081028522928,0.0,0.892811705426472,0.0,17972.850053988823,9861.759326171876,91.28711545370459,0.0,91.28711545370459,0.0,20.53567658029107,0.0,20.53567658029107,2.56480114688747,0.892811705426472,0.5723636279491289,46.7846466700236,117.90616527118001
