algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,10,5.462075454880726,0.8131133791208267,0.7648251345157623,0.0,2.225512565351,0.0,1000.0,0.0,0.0,1435.8321913255504,0.0,131.85544032676546,0.0,128.42127347459981,0.0,2.669237927626113,0.0,0.8971813613293218,0.0,0.8263732181677724,0.0,0.8263732181677724,0.0,131.85536612716376,0.0,2.669237927626113,1.9134580273533608,0.8971813613293218,0.8263732181677724,13.449247344970702,146.45488351520612
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,11,5.7710364813038355,0.8185577794313431,0.7281170432567596,0.0,2.5207472095886865,0.0,1000.0,0.0,0.0,1468.823353122827,0.0,127.87982924779256,0.0,150.7344175974528,0.0,2.8633652614236507,0.0,0.8900211503108343,0.0,0.8022017503413856,0.0,0.8022017503413856,0.0,127.87974278132121,0.0,2.8633652614236507,1.9534612192030798,0.8900211503108343,0.8022017503413856,12.276455307006836,141.0070418997914
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,12,5.858117023734823,0.8226335790157319,0.6969477443695068,0.0,2.327204463774698,0.0,1000.0,0.0,0.0,1537.1075873201014,0.0,121.60093742504455,0.0,155.9584816380551,0.0,3.1432852980276675,0.0,0.9045326050959135,0.0,0.7617914654378167,0.0,0.7617914654378167,0.0,121.60084332917866,0.0,3.1432852980276675,1.9941094166370277,0.9045326050959135,0.7617914654378167,13.862496139526368,175.23026495449156
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,13,6.278151974279729,0.8272683801651001,0.6705618851184845,0.0,2.3933611891486426,0.0,1000.0,0.0,0.0,1571.4459991986535,0.0,120.0353902643377,0.0,156.45411099520598,0.0,3.3938451129596663,0.0,0.8716695373708552,0.0,0.7519086412221789,0.0,0.7519086412221789,0.0,120.0353236805309,0.0,3.3938451129596663,2.0179023334378856,0.8716695373708552,0.7519086412221789,13.203885604858398,172.85905991185192
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,14,6.525895160225262,0.8305537782907486,0.6474340088367462,0.0,2.581408591270447,0.0,1000.0,0.0,0.0,1612.8613813586753,0.0,113.39084869384766,0.0,156.22485778808593,0.0,3.6009296669492517,0.0,0.8837461751699448,0.0,0.7113969279081729,0.0,0.7113969279081729,0.0,113.39085357666016,0.0,3.6009296669492517,2.074201289962778,0.8837461751699448,0.7113969279081729,11.339085357666015,161.28613813586753
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,15,7.070059828934894,0.8340861785411835,0.626913669705391,0.0,2.6924911364912987,0.0,1000.0,0.0,0.0,1636.513015838776,0.0,109.21248474121094,0.0,145.9503876686096,0.0,3.7688425836932256,0.0,0.8700765408575535,0.0,0.68488448210257,0.0,0.68488448210257,0.0,109.21250267028809,0.0,3.7688425836932256,2.133621584494935,0.8700765408575535,0.68488448210257,8.737000213623046,130.92104126710208
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,16,7.825800869951592,0.8358261787891388,0.6115133637189865,0.0,2.9103471264243126,0.0,1000.0,0.0,0.0,1610.7971157769634,0.0,102.07903703053792,0.0,180.65057261784872,0.0,4.011789448926338,0.0,0.8839632247885069,0.0,0.640132490511796,0.0,0.640132490511796,0.0,102.07892481486003,0.0,4.011789448926338,2.2264142868320462,0.8839632247885069,0.640132490511796,9.799576782226563,154.6365231145885
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,17,8.15098557471766,0.8373561797142028,0.5985356895923615,0.0,3.0108333327049435,0.0,1000.0,0.0,0.0,1601.1318555330095,0.0,100.7441477221112,0.0,179.5363059820131,0.0,4.225617231306348,0.0,0.8258768521076025,0.0,0.6314517442203885,0.0,0.6314517442203885,0.0,100.74409396149392,0.0,4.225617231306348,2.322812819782115,0.8258768521076025,0.6314517442203885,8.663992080688477,137.6973395758388
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,18,8.656391038334972,0.8385245780944824,0.5880323309898376,0.0,3.01463727288776,0.0,1000.0,0.0,0.0,1574.1281190165648,0.0,95.70643174913195,0.0,190.00756462944878,0.0,4.51364313827902,0.0,0.8046170559194353,0.0,0.5999253206389972,0.0,0.5999253206389972,0.0,95.70640869140625,0.0,4.51364313827902,2.435306236552331,0.8046170559194353,0.5999253206389972,8.613576782226563,141.67153071149085
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,19,9.870455348551053,0.8388281788229942,0.5799198269844055,0.0,2.9369931091432986,0.0,1000.0,0.0,0.0,1446.1916825006501,0.0,85.3169646885084,0.0,192.2453095809273,0.0,4.887018250310532,0.0,0.8463253728721453,0.0,0.5345273807919435,0.0,0.5345273807919435,0.0,85.31688806285028,0.0,4.887018250310532,2.62515759951756,0.8463253728721453,0.5345273807919435,7.849153701782226,133.04963479005986
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,20,12.856359560436477,0.8395703784227371,0.5726947640776634,0.0,2.8665488308126275,0.0,1000.0,0.0,0.0,1368.427196582617,0.0,75.89706032492897,0.0,206.52484158602627,0.0,5.4308980587221285,0.0,0.8587912212718617,0.0,0.47574218908056654,0.0,0.47574218908056654,0.0,75.89702453613282,0.0,5.4308980587221285,2.9943804678478085,0.8587912212718617,0.47574218908056654,8.348672698974609,150.52699162408786
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,21,14.851561099269317,0.840433778822422,0.5656564168334007,0.0,2.7573701193992126,0.0,1000.0,0.0,0.0,1259.9765152226616,0.0,67.45504744509434,0.0,168.04179706979306,0.0,6.06254059329849,0.0,0.827533520282583,0.0,0.4225972301674288,0.0,0.4225972301674288,0.0,67.45498722157579,0.0,6.06254059329849,3.4704476741542205,0.827533520282583,0.4225972301674288,6.340768798828125,118.43779243093017
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,22,20.74299227943595,0.8407259790897369,0.5617160316705704,0.0,3.05974781823655,0.0,1000.0,0.0,0.0,1010.5654746100637,0.0,53.99450548489889,0.0,186.6927785873413,0.0,6.96219222396264,0.0,0.8379200249910355,0.0,0.33843776182812424,0.0,0.33843776182812424,0.0,53.994450410207115,0.0,6.96219222396264,4.521365864214558,0.8379200249910355,0.33843776182812424,5.183467239379882,97.01428556256612
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,23,35.29896042908271,0.8419435783624649,0.5537731218338012,0.0,3.091685333629934,0.0,1000.0,0.0,0.0,662.2076303747461,0.0,33.990524431554284,0.0,164.86787340117664,0.0,8.883572859004497,0.0,0.8613593549263187,0.0,0.21298437711577733,0.0,0.21298437711577733,0.0,33.99050773062357,0.0,8.883572859004497,7.743213236857001,0.8613593549263187,0.21298437711577733,2.7872216339111326,54.301025690729176
noise-game,scale,mnist,42,500,0,1.1,1.0,0.1,iid,1.0,99999,24,94.81113126419908,0.8413551786541938,0.5549370605945587,0.0,3.551533746932234,0.0,1000.0,0.0,0.0,333.7052629688548,0.0,17.437471026466007,0.0,227.287964230492,0.0,14.830793447292201,0.0,0.8309994567008245,0.0,0.10934807857317917,0.0,0.10934807857317917,0.0,17.437470163617814,0.0,14.830793447292201,21.52330668530023,0.8309994567008245,0.10934807857317917,1.4647474937438965,28.031242089383806
