algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,46,2.1070809458729944,0.9193566449483236,0.2798585716386636,0.0,0.07436458713241986,0.0,1000.0,0.0,0.0,0.2747172914414692,0.0,5.263592319829123,0.0,2.1070809458729944,0.0,2.9701357441289082,0.0,7.642857142857143,0.0,2.1070809458729944,0.0,0.33000000000000007,0.8379022172290598,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,47,2.149630375905233,0.9190699776013692,0.2810636935134729,0.0,0.07995112416775603,0.0,1000.0,0.0,0.0,0.3011579961609233,0.0,5.068650879357991,0.0,2.149630375905233,0.0,3.1568104342410437,0.0,10.263157894736842,0.0,2.149630375905233,0.0,0.335,0.8327057845541775,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,48,2.193000293416514,0.9194339768091837,0.2799040367205938,0.0,0.07596020749019038,0.0,1000.0,0.0,0.0,0.25811629475787673,0.0,5.170410879196659,0.0,2.193000293416514,0.0,2.931895144524113,0.0,8.903225806451612,0.0,2.193000293416514,0.0,0.3400000000000001,0.8295023736908751,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,49,2.2371982195160207,0.9197279759248098,0.2789671980837981,0.0,0.08206858643545555,0.0,1000.0,0.0,0.0,0.2363450040117781,0.0,5.5338318164532,0.0,2.237198219516021,0.0,2.781730349247272,0.0,8.692307692307692,0.0,2.237198219516021,4.440892098500626e-16,0.34500000000000003,0.8272494518750559,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,50,2.2732183977551714,0.919726976553599,0.2794585233926773,0.0,0.0793493687071734,0.0,1000.0,0.0,0.0,0.24466888995303668,0.0,3.8720337417390613,0.0,2.2732183977551714,0.0,2.6751303573449454,0.0,8.833333333333334,0.0,2.2732183977551714,0.0,0.35000000000000003,0.8226325630324884,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,51,2.3082469666018848,0.9201196434100469,0.27862537528077763,0.0,0.0797028976182143,0.0,1000.0,0.0,0.0,0.23181273467183505,0.0,4.842942277590434,0.0,2.3082469666018848,0.0,2.6452249934275947,0.0,7.25,0.0,2.3082469666018848,0.0,0.35500000000000004,0.820750720385196,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,52,2.3438907315442075,0.9203736428419749,0.27783233890930814,0.0,0.0751702358516363,0.0,1000.0,0.0,0.0,0.22060201592463644,0.0,4.845080091403081,0.0,2.343890731544207,0.0,2.545513616158412,0.0,7.923076923076923,0.0,2.343890731544207,4.440892098500626e-16,0.36000000000000004,0.81854579239108,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,53,2.38015410490357,0.920508975982666,0.27764076958100004,0.0,0.07431397358736684,0.0,1000.0,0.0,0.0,0.22333922908059486,0.0,3.8263159798037623,0.0,2.38015410490357,0.0,2.5286423775457565,0.0,8.580645161290322,0.0,2.38015410490357,0.0,0.36500000000000005,0.815108602337763,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,54,2.4170415564017946,0.9208519774675369,0.2768636871377627,0.0,0.07367271570754903,0.0,1000.0,0.0,0.0,0.2301115270395227,0.0,4.509918008531843,0.0,2.4170415564017946,0.0,2.4897692671843936,0.0,8.0,0.0,2.4170415564017946,0.0,0.37000000000000005,0.8126022201560602,0.0
trust-aware,scale,mnist,42,300,0,1.1,2.0,0.1,iid,1.0,99999,55,2.4545576143038303,0.9210863093535105,0.2764801110327244,0.0,0.07582438394427299,0.0,1000.0,0.0,0.0,0.21259561541109476,0.0,4.187011394500733,0.0,2.454557614303831,0.0,2.4628556776046753,0.0,6.88,0.0,2.454557614303831,4.440892098500626e-16,0.375,0.8105818713044226,0.0
