algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,36,6.767127642626461,0.5747170701312522,11.644625530888637,0.9158429067592839,27.027386922102707,0.9999999711910884,1000.0,0.9222491256389561,0.9095250729636508,0.6498258274335128,0.0,136.23750657301682,0.0,93.46058133015266,1.2862472891807557,1520.3915187431435,0.0,4.286234102887653,0.0,136.23750657301682,0.0,0.8537893351194619,0.0,4.286234102887653,1.0528490649430744,0.6498258274335128,0.8537893351194619,7.3795316060384115,82.35454059858694
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,37,6.802865319939891,0.5707016533551117,12.373474846531947,0.8802492211838007,31.233957829682723,0.9999999731779099,1000.0,0.8525223268163167,0.9098402885110768,0.6703149857728378,0.0,132.4504623413086,0.0,1686.9900755389876,1.273732215166092,1795.3107815671262,0.0,4.374477086524551,0.0,132.4504623413086,0.0,0.8299465576045738,0.0,4.374477086524551,1.008285598839838,0.6703149857728378,0.8299465576045738,12.69316930770874,172.05061656684964
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,38,6.802865319939891,0.5726666526248058,13.604871705795327,0.849679090192546,34.91789937841481,0.9999999860922496,1000.0,0.7953204047217538,0.9120135363790186,0.6689338026375606,0.0,130.75454448831493,0.0,3378.588468572189,2.1841920018196106,1058.9279419152142,0.0,4.419314864783396,0.0,130.75454448831493,0.0,0.819898961467124,0.0,4.419314864783396,1.0190380610713377,0.6689338026375606,0.819898961467124,15.79950745900472,127.95379298142171
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,39,6.900020251176932,0.5671212337600688,13.646832186852892,0.8621997471554993,28.409045298894245,0.9999999920527141,1000.0,0.8182809773123909,0.9111003157639057,0.6203813341756662,0.0,133.80024592081705,0.0,960.0340414245924,41.68316814104716,1364.0912354317095,0.0,4.486355463222504,0.0,133.80024592081705,0.0,0.8385711607026973,0.0,4.486355463222504,0.9818199366131717,0.6203813341756662,0.8385711607026973,13.380024592081705,136.40912354317095
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,40,6.900020251176932,0.5668949856733282,14.426278037950397,0.8671458381636912,35.86975520590077,0.9999999860922496,1000.0,0.8270676691729323,0.9113060428849903,0.7346600929032201,0.0,121.08779376486073,0.0,1342.9145672010338,3.0510979930559796,862.0709660384524,0.0,4.546743608506811,0.0,121.08779376486073,0.0,0.7590441947069908,0.0,4.546743608506811,0.9839658351757047,0.7346600929032201,0.7590441947069908,11.604246902465821,82.61513424535171
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,41,7.032508648993543,0.5681854023908576,15.97582202081879,0.8551418232753589,37.280139207839966,0.9999999692042668,1000.0,0.8089664310954063,0.906907650408517,0.7058062979153225,0.0,122.29426002502441,0.0,3933.0417307955877,2.869694157441457,744.5982004202451,0.0,4.610182277678656,0.0,122.29426002502441,0.0,0.7656464919259348,0.0,4.610182277678656,1.020933570048704,0.7058062979153225,0.7656464919259348,14.267663669586181,86.86979004902857
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,42,7.059900484761977,0.5682074860980113,16.119834973166387,0.850114291934255,33.11410995324453,0.9999999821186065,1000.0,0.7979158152840212,0.9096203121360354,0.6542898571739594,0.0,125.27514680226643,0.0,279.9129009395838,659.7299154758454,1113.2628532425242,0.0,4.688125875783778,0.0,125.27514680226643,0.0,0.7851854904989901,0.0,4.688125875783778,1.046465525879694,0.6542898571739594,0.7851854904989901,12.527514680226643,111.32628532425242
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,43,7.276482480932892,0.560749986829857,17.16537392909328,0.8487152897799286,31.80602708884648,0.999999980131785,1000.0,0.7992621527777778,0.9046917219356424,0.6681841244654996,0.0,122.21037646702358,0.0,2349.190337053367,70.13070545593898,1554.236430404061,0.0,4.829644646962199,0.0,122.21037646702358,0.0,0.7665360039135545,0.0,4.829644646962199,0.9829380234869818,0.6681841244654996,0.7665360039135545,14.257877254486084,181.32758354714048
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,44,7.282918176832632,0.5764774862055977,16.644290981565913,0.8995721117543417,36.43716785311699,0.9999999711910884,1000.0,0.8859692612791275,0.91359918200409,0.6895202733576298,0.0,118.71855115890503,0.0,30.723935262300074,4.307452281316121,912.3021874599535,0.0,4.8893394713050915,0.0,118.71855115890503,0.0,0.7438780607981641,0.0,4.8893394713050915,0.9977057341306829,0.6895202733576298,0.7438780607981641,7.914570077260335,60.82014583066357
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,45,7.368327310629262,0.5594045689950387,18.637992983932296,0.8257463476603855,35.13696162840899,0.9999999781449636,1000.0,0.7565470417070805,0.908879049172687,0.7001655434860903,0.0,116.13467452105354,0.0,4926.008447015986,1083.8622496525447,1021.7752767051927,0.0,5.012245900362092,0.0,116.13467452105354,0.0,0.7274982286956823,0.0,5.012245900362092,1.0217604128073983,0.7001655434860903,0.7274982286956823,16.45241222381592,144.75149753323564
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,46,7.6854980713806444,0.5690158192068339,18.585512241596977,0.8709529276693455,38.28018598556518,0.9999999880790711,1000.0,0.8325285338015803,0.9130958112662494,0.7143358662724495,0.0,113.14454727172851,0.0,502.7575277805328,47.066804480552676,726.1976313118888,0.0,5.091502468239338,0.0,113.14454727172851,0.0,0.7093404619811435,0.0,5.091502468239338,1.0408031139741338,0.7143358662724495,0.7093404619811435,9.428712272644043,60.51646927599074
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,47,7.6854980713806444,0.562868319141368,20.29427823598186,0.8278553820870994,37.633183018914586,0.9999999771515529,1000.0,0.7609516616314199,0.9076576576576577,0.7032757689212931,0.0,112.4434235671471,0.0,2196.998426766231,3088.3282368977866,869.311127607376,0.0,5.207331212407381,0.0,112.4434235671471,0.0,0.7051024468277635,0.0,5.207331212407381,1.0608897221940952,0.7032757689212931,0.7051024468277635,13.586913681030273,105.04176125255793
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,48,7.728730082737458,0.5719920676201582,20.828298131749033,0.867330016583748,36.53296311696371,0.8666666477918625,1000.0,0.8309123921924648,0.9070862239841427,0.6723797681430975,0.0,113.61223761240642,0.0,1017.7378745476404,11.761006450653076,1012.5714399351026,0.0,5.298636711125649,0.0,113.61223761240642,0.0,0.7114145589972042,0.0,5.298636711125649,1.0843454776237151,0.6723797681430975,0.7114145589972042,11.361223761240641,101.25714399351025
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,49,7.884115898921985,0.5632279028805594,nan,0.8842984797493327,36.35390257835388,nan,1000.0,0.8436669619131976,0.9290416971470373,0.6985391944646835,0.0,109.59462776184083,0.0,nan,nan,515.6422471690921,0.0,5.355130872943888,0.0,109.59462776184083,0.0,0.687306902627868,0.0,5.355130872943888,1.1159154256162265,0.6985391944646835,0.687306902627868,9.132885646820068,42.970187264091024
