algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,1.026308702797954,0.8411569793224335,0.5707653831243515,0.0,3.926007832799639,0.0,1000.0,0.0,0.0,295.69911084856307,0.0,208.91456495012557,0.0,1.8531238599719437,0.0,5568.17576855819,0.0,0.5606589854943993,0.0,1.8531238599719437,0.0,295.69911084856307,0.0,0.8682947031089238,0.0,0.5606589854943993,0.4239247913457994,0.8682947031089238,1.8531238599719437,16.559150207519533,311.81784303925855
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,1.0463011356295233,0.8434301780462266,0.5592634139060975,0.0,4.026971294766381,0.0,1000.0,0.0,0.0,313.17238362630206,0.0,152.29830859956286,0.0,1.962097204887751,0.0,6016.2934036636325,0.0,0.5738093971023451,0.0,1.962097204887751,0.0,313.17238362630206,0.0,0.7897018634137654,0.0,0.5738093971023451,0.4230343812712017,0.7897018634137654,1.962097204887751,13.153240112304687,252.6843229538726
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,1.0755570329746944,0.8421065780520439,0.5598838988542557,0.0,4.773729835237775,0.0,1000.0,0.0,0.0,314.21179962158203,0.0,271.2283205304827,0.0,1.9726749300280577,0.0,5550.022860415113,0.0,0.5877689817002346,0.0,1.9726749300280577,0.0,314.21179962158203,0.0,0.7709478363394737,0.0,0.5877689817002346,0.4225004560298099,0.7709478363394737,1.9726749300280577,17.595860778808593,310.8012801832464
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,1.1095094300909052,0.8438463789224625,0.5530677433609963,0.0,4.505845648901803,0.0,1000.0,0.0,0.0,290.388430640811,0.0,173.05427841913132,0.0,1.820881241429513,0.0,5701.626318278799,0.0,0.6085024419017375,0.0,1.820881241429513,0.0,290.388430640811,0.0,0.8541194257282075,0.0,0.6085024419017375,0.4209513792506294,0.8541194257282075,1.820881241429513,12.196314086914063,239.46830536770955
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,1.14782840822402,0.845423978805542,0.5452403402924537,0.0,4.559411084651947,0.0,1000.0,0.0,0.0,296.9152206420898,0.0,150.65261993408203,0.0,1.8607318049771682,0.0,6202.492903338161,0.0,0.6230413249180026,0.0,1.8607318049771682,0.0,296.9152206420898,0.0,0.817273136973381,0.0,0.6230413249180026,0.42008796035633217,0.817273136973381,1.8607318049771682,11.876608825683594,248.0997161335265
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,1.1900270513319653,0.8475935794115067,0.5349857950210571,0.0,3.7973670457538806,0.0,1000.0,0.0,0.0,275.03326014468547,0.0,136.05875477037932,0.0,1.7224662258086056,0.0,6162.185580297759,0.0,0.6452011928530135,0.0,1.7224662258086056,0.0,275.03326014468547,0.0,0.8941547933377718,0.0,0.6452011928530135,0.41868413821187106,0.8941547933377718,1.7224662258086056,10.451263885498047,234.16305205131488
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,1.2355686054375075,0.8487601784467698,0.5292335579395294,0.0,4.131831927732988,0.0,1000.0,0.0,0.0,306.4339030872692,0.0,171.9438247680664,0.0,1.9173096857457173,0.0,6610.6729479462665,0.0,0.6612646913398871,0.0,1.9173096857457173,0.0,306.4339030872692,0.0,0.7566916915503415,0.0,0.6612646913398871,0.4181629933290019,0.7566916915503415,1.9173096857457173,13.483091735839844,290.8696097096357
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,1.2436691853501007,0.8479145786762238,0.5277967460751534,0.0,4.552531535808857,0.0,1000.0,0.0,0.0,292.85878225473255,0.0,311.3202121441181,0.0,1.8347269091109324,0.0,6638.003413514303,0.0,0.6803087296849942,0.0,1.8347269091109324,0.0,292.85878225473255,0.0,0.7982864861304944,0.0,0.6803087296849942,0.41700676467113523,0.7982864861304944,1.8347269091109324,15.228656677246093,345.17617750274377
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,1.2471617904087688,0.8486251789927483,0.5245129556655884,0.0,4.077752351760864,0.0,1000.0,0.0,0.0,290.7284868028429,0.0,210.63748338487414,0.0,1.8228540199321326,0.0,6723.087420255336,0.0,0.6992622970034554,0.0,1.8228540199321326,0.0,290.7284868028429,0.0,0.7940637513443276,0.0,0.6992622970034554,0.4153267970643583,0.7940637513443276,1.8228540199321326,15.699338287353516,363.04672069378813
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,1.2534264418367473,0.8498551795482635,0.5172067368626595,0.0,4.116938738595872,0.0,1000.0,0.0,0.0,285.4750438871838,0.0,158.33470262799943,0.0,1.7935491398460695,0.0,7180.529382603084,0.0,0.7108865415162443,0.0,1.7935491398460695,0.0,285.4750438871838,0.0,0.8015258141926357,0.0,0.7108865415162443,0.41434053223141304,0.8015258141926357,1.7935491398460695,11.98995184326172,301.58223406932956
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,1.2665457344554696,0.8484237790107727,0.5199651569128036,0.0,4.451299302279949,0.0,1000.0,0.0,0.0,298.5939130783081,0.0,296.45839405059814,0.0,1.8713730725686888,0.0,6983.234854667374,0.0,0.7282840560218726,0.0,1.8713730725686888,0.0,298.5939130783081,0.0,0.7369552878662944,0.0,0.7282840560218726,0.41210180656612805,0.7369552878662944,1.8713730725686888,19.11001043701172,446.9270306987119
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,1.2665457344554696,0.8488379791975021,0.5187453338503838,0.0,5.382008632024129,0.0,1000.0,0.0,0.0,290.6971969604492,0.0,253.43203735351562,0.0,1.8233073992078195,0.0,6553.117695767251,0.0,0.7352976379320069,0.0,1.8233073992078195,0.0,290.6971969604492,0.0,0.7570284505685171,0.0,0.7352976379320069,0.4117749526968037,0.7570284505685171,1.8233073992078195,10.465099090576173,235.91223704762103
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,1.2762587762649664,0.848368579864502,0.5201588995456695,0.0,4.79652335246404,0.0,1000.0,0.0,0.0,279.6838181813558,0.0,245.08348274230957,0.0,1.7541851328804352,0.0,6914.730692254896,0.0,0.7555883957735031,0.0,1.7541851328804352,0.0,279.6838181813558,0.0,0.792131474862496,0.0,0.7555883957735031,0.40805936397096126,0.792131474862496,1.7541851328804352,13.424823272705078,331.907073228235
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,1.2826278200552643,0.8473835780024529,0.5245702605247498,0.0,4.994995994567871,0.0,1000.0,0.0,0.0,283.8872644042969,0.0,284.78121673583985,0.0,1.7799874789742751,0.0,6342.3452635633785,0.0,0.7709064828115602,0.0,1.7799874789742751,0.0,283.8872644042969,0.0,0.7620470738410949,0.0,0.7709064828115602,0.4052421103636668,0.7620470738410949,1.7799874789742751,14.194363220214843,317.1172631781689
