algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.4362659627688874,0.8278373801112175,0.6761568348407745,0.0,4.24681841885602,0.0,1000.0,0.0,0.0,1.1088639836050709,0.0,4162.165741206849,0.0,313.904867666739,0.0,1.9673859168176389,0.0,1.9673859168176389,0.0,243.0008474279333,0.0,313.904867666739,0.0,0.8797425384874697,0.0,1.1088639836050709,1.0819832404062009,0.8797425384874697,1.9673859168176389,16.950862854003905,224.75695002516983
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.4362659627688874,0.8324661797881127,0.6496822175979614,0.0,4.173824124866062,0.0,1000.0,0.0,0.0,1.1630082931808718,0.0,4180.681575219378,0.0,295.10069783528644,0.0,1.849433438634851,0.0,1.849433438634851,0.0,140.71534559461804,0.0,295.10069783528644,0.0,0.9363225864039527,0.0,1.1630082931808718,1.0863063740381884,0.9363225864039527,1.849433438634851,10.623625122070312,150.5045367078976
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.4362659627688874,0.8345525779128075,0.6311612601280212,0.0,4.453095612318619,0.0,1000.0,0.0,0.0,1.2095428349293014,0.0,4430.08151035515,0.0,309.33158144743544,0.0,1.940901532654564,0.0,1.940901532654564,0.0,207.48628566576087,0.0,309.33158144743544,0.0,0.8724970687990603,0.0,1.2095428349293014,1.0900065289739154,0.8724970687990603,1.940901532654564,14.22925274658203,203.78374947633694
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.4362659627688874,0.8359843788146972,0.6170538195371628,0.0,5.286744703849156,0.0,1000.0,0.0,0.0,1.2402284649358648,0.0,4634.966291325897,0.0,308.0268859863281,0.0,1.9316622458077368,0.0,1.9316622458077368,0.0,344.25418853759766,0.0,308.0268859863281,0.0,0.8665866777300835,0.0,1.2402284649358648,1.0956095919317326,0.8665866777300835,1.9316622458077368,14.78529052734375,222.47838198364306
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.4362659627688874,0.8392703784704209,0.5981932152509689,0.0,4.00498179955916,0.0,1000.0,0.0,0.0,1.2909200218938222,0.0,5018.84665363309,0.0,305.6731581254439,0.0,1.9185844499615796,0.0,1.9185844499615796,0.0,166.44948733936656,0.0,305.6731581254439,0.0,0.8629462718963623,0.0,1.2909200218938222,1.0951145600196743,0.8629462718963623,1.9185844499615796,13.449618957519531,220.82925275985593
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.43899504217465,0.8406415791511536,0.5869463272094727,0.0,4.624823528787364,0.0,1000.0,0.0,0.0,1.3330765252562247,0.0,5328.589416260755,0.0,306.3827846361243,0.0,1.921555788002103,0.0,1.921555788002103,0.0,246.76983045495075,0.0,306.3827846361243,0.0,0.8497400231983351,0.0,1.3330765252562247,1.0944698145633438,0.8497400231983351,1.921555788002103,14.093608093261718,245.11511314799475
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.465292477563426,0.842316379249096,0.576169031739235,0.0,4.479940273545005,0.0,1000.0,0.0,0.0,1.3839732487937155,0.0,4995.2724085287755,0.0,297.4417197487571,0.0,1.8631050476310498,0.0,1.8631050476310498,0.0,223.3267912431197,0.0,297.4417197487571,0.0,0.8735204853794791,0.0,1.3839732487937155,1.090065790419619,0.8735204853794791,1.8631050476310498,13.087435668945313,219.79198597526613
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,2.465292477563426,0.8442023791074753,0.5645309435129165,0.0,3.926305515425546,0.0,1000.0,0.0,0.0,1.442014625483716,0.0,5560.072291652698,0.0,295.9538051060268,0.0,1.8547373116341783,0.0,1.8547373116341783,0.0,207.90865053449357,0.0,295.9538051060268,0.0,0.8673093659537179,0.0,1.442014625483716,1.0840032334167122,0.8673093659537179,1.8547373116341783,16.5734130859375,311.36404833255114
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,2.465292477563426,0.8463393770456314,0.5531074531674385,0.0,4.137874818983532,0.0,1000.0,0.0,0.0,1.474927378454748,0.0,6021.812696707839,0.0,308.978021530878,0.0,1.9357786186784498,0.0,1.9357786186784498,0.0,157.99258313860213,0.0,308.978021530878,0.0,0.8059361946015131,0.0,1.474927378454748,1.080256113708864,0.8059361946015131,1.9357786186784498,12.977076904296876,252.91613326172927
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,2.5196957378362463,0.8450727786421776,0.5537257118821144,0.0,4.904399011816297,0.0,1000.0,0.0,0.0,1.5095810327438104,0.0,5533.9271379732845,0.0,310.2743922642299,0.0,1.9479190841064455,0.0,1.9479190841064455,0.0,287.03160912649975,0.0,310.2743922642299,0.0,0.7863716781139374,0.0,1.5095810327438104,1.0768659775462268,0.7863716781139374,1.9479190841064455,17.375365966796874,309.899919726504
