algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,101,2.0253948143153804,0.7696467814445496,1.7024205427765846,0.0,9.814185376962026,0.0,1000.0,0.0,0.0,0.586004979411761,0.0,246.78555196126302,0.0,1.5450114705535904,0.0,6369.661208728345,0.0,1.5450114705535904,0.0,246.78555196126302,0.0,1.0234816221576066,0.0,1300.0135803222656,0.0,1.0234816221576066,0.27393549660440963,0.586004979411761,1.5450114705535904,14.80713311767578,382.1796725237006
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,102,2.0253948143153804,0.7706665802598,1.7212257114052774,0.0,9.716929488711887,0.0,1000.0,0.0,0.0,0.5330757120693171,0.0,252.86566331651477,0.0,1.5868964275344,0.0,6658.865298812306,0.0,1.5868964275344,0.0,252.86566331651477,0.0,1.035846280288565,0.0,1018.5299965187355,0.0,1.035846280288565,0.27493055589500687,0.5330757120693171,1.5868964275344,13.654745819091797,359.5787261358645
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,103,2.11116855313694,0.7693525812029839,1.732316360771656,0.0,9.367573716810771,0.0,1000.0,0.0,0.0,0.5780988952943257,0.0,243.00949805123466,0.0,1.522885774862657,0.0,7158.273790594661,0.0,1.522885774862657,0.0,243.00949805123466,0.0,1.0557855541916803,0.0,1018.7612980433872,0.0,1.0557855541916803,0.27937075473180717,0.5780988952943257,1.522885774862657,13.608531890869141,400.86333227330095
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,104,2.11116855313694,0.7675695812702179,1.7866574976444245,0.0,10.5940598487854,0.0,1000.0,0.0,0.0,0.5622817412018776,0.0,243.25430704752605,0.0,1.5245047497294644,0.0,7058.028667788854,0.0,1.5245047497294644,0.0,243.25430704752605,0.0,1.0740287298329754,0.0,1493.777012125651,0.0,1.0740287298329754,0.28370194904464024,0.5622817412018776,1.5245047497294644,14.595258422851563,423.4817200673313
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,105,2.11116855313694,0.7665655800700187,1.8321493384242058,0.0,11.829298973083496,0.0,1000.0,0.0,0.0,0.6253672967786374,0.0,229.8956577466882,0.0,1.4431076220595995,0.0,6093.3419499229585,0.0,1.4431076220595995,0.0,229.8956577466882,0.0,1.0879381934602652,0.0,1992.0495804496434,0.0,1.0879381934602652,0.288906988154492,0.6253672967786374,1.4431076220595995,10.575200256347657,280.2937296964561
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,106,2.11116855313694,0.764236179292202,1.8615330857634544,0.0,10.368215213860235,0.0,1000.0,0.0,0.0,0.561782855180002,0.0,238.55911451770413,0.0,1.4948360590175815,0.0,5409.385059159241,0.0,1.4948360590175815,0.0,238.55911451770413,0.0,1.1021250857464546,0.0,1407.9489234185987,0.0,1.1021250857464546,0.2952753244498671,0.561782855180002,1.4948360590175815,14.790665100097657,335.3818736678729
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,107,2.11116855313694,0.7648127788305282,1.8932212060689926,0.0,11.346537492491983,0.0,1000.0,0.0,0.0,0.5659187856045637,0.0,235.35232335870916,0.0,1.4757062136233907,0.0,5470.962273125889,0.0,1.4757062136233907,0.0,235.35232335870916,0.0,1.1151458655231141,0.0,1364.8320298628373,0.0,1.1151458655231141,0.3012429148550043,0.5659187856045637,1.4757062136233907,10.355502227783203,240.72234001753912
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,108,2.11116855313694,0.7651193803548813,1.9046973934173583,0.0,11.221681003985198,0.0,1000.0,0.0,0.0,0.553662891621175,0.0,235.1902074399202,0.0,1.4735088317390648,0.0,6091.499155829451,0.0,1.4735088317390648,0.0,235.1902074399202,0.0,1.130439327104905,0.0,1312.2968670388927,0.0,1.130439327104905,0.3053764302216102,0.553662891621175,1.4735088317390648,10.818749542236327,280.2089611681547
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,109,2.11116855313694,0.75845337921381,1.9961490759253502,0.0,10.877485676815635,0.0,1000.0,0.0,0.0,0.5942771505368384,0.0,226.34742335269326,0.0,1.417881622709827,0.0,6027.7506504149305,0.0,1.417881622709827,0.0,226.34742335269326,0.0,1.1577504681766846,0.0,2017.3555811831825,0.0,1.1577504681766846,0.3134583238385802,0.5942771505368384,1.417881622709827,17.202404174804688,458.1090494315348
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,110,2.11116855313694,0.7582423790693283,2.0351360659003257,0.0,11.749828517436981,0.0,1000.0,0.0,0.0,0.5617763884365559,0.0,228.91598224639893,0.0,1.4362291565438685,0.0,5463.339887048156,0.0,1.4362291565438685,0.0,228.91598224639893,0.0,1.1831594302963024,0.0,2083.5798416137695,0.0,1.1831594302963024,0.3186561765378254,0.5617763884365559,1.4362291565438685,14.65062286376953,349.653752771082
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,111,2.11116855313694,0.75861398011446,2.0461283026337624,0.0,11.253754653930663,0.0,1000.0,0.0,0.0,0.5458152031898499,0.0,229.19786376953124,0.0,1.4377188925442639,0.0,4926.807128475891,0.0,1.4377188925442639,0.0,229.19786376953124,0.0,1.1991763814304213,0.0,1237.17486328125,0.0,1.1991763814304213,0.3216812980309582,0.5458152031898499,1.4377188925442639,11.459893188476563,246.34035642379453
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,112,2.11116855313694,0.7592945817112923,2.0776741065979003,0.0,11.435791923886253,0.0,1000.0,0.0,0.0,0.5912583626451946,0.0,220.32606506347656,0.0,1.3789317963391508,0.0,4502.515349508675,0.0,1.3789317963391508,0.0,220.32606506347656,0.0,1.2101645408416597,0.0,1183.1257731119792,0.0,1.2101645408416597,0.3300665742169048,0.5912583626451946,1.3789317963391508,9.253694732666016,189.1056446793643
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,113,2.11116855313694,0.7571229804754257,2.1481827786564827,0.0,11.859085061333396,0.0,1000.0,0.0,0.0,0.5762242611610529,0.0,220.20107754794034,0.0,1.3797807399964324,0.0,5323.59744910796,0.0,1.3797807399964324,0.0,220.20107754794034,0.0,1.2325800785418368,0.0,1967.8666178385417,0.0,1.2325800785418368,0.3337556183350392,0.5762242611610529,1.3797807399964324,14.533271118164063,351.35743164112534
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,114,2.11116855313694,0.7557499823570252,2.154734888970852,0.0,10.783571325499436,0.0,1000.0,0.0,0.0,0.5586897918376429,0.0,221.02484025626347,0.0,1.3828752627250147,0.0,5127.036407677114,0.0,1.3828752627250147,0.0,221.02484025626347,0.0,1.2573649836831409,0.0,1580.199541815396,0.0,1.2573649836831409,0.3432677016106935,0.5586897918376429,1.3828752627250147,12.819440734863282,297.3681116452725
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,115,2.11116855313694,0.7548387803435326,2.204197266936302,0.0,11.515242976801735,0.0,1000.0,0.0,0.0,0.5917690566607884,0.0,213.18228585379464,0.0,1.3376930893156334,0.0,5179.727118082432,0.0,1.3376930893156334,0.0,213.18228585379464,0.0,1.2787501615406962,0.0,1631.7055206298828,0.0,1.2787501615406962,0.3503740901896662,0.5917690566607884,1.3376930893156334,11.9382080078125,290.0647186126161
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,116,2.11116855313694,0.7538097804188728,2.265905281126499,0.0,11.020881313266177,0.0,1000.0,0.0,0.0,0.5300294088594841,0.0,220.81470188950047,0.0,1.3824463998791583,0.0,4596.015517505406,0.0,1.3824463998791583,0.0,220.81470188950047,0.0,1.2983777120010849,0.0,1979.6939863725142,0.0,1.2983777120010849,0.3546796817499719,0.5300294088594841,1.3824463998791583,14.57377032470703,303.3370241553568
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,117,2.434448197014675,0.7541781804561615,2.288744801521301,0.0,11.877580126126608,0.0,1000.0,0.0,0.0,0.5926050891478857,0.0,209.18531036376953,0.0,1.3104265609013421,0.0,5061.267914610701,0.0,1.3104265609013421,0.0,209.18531036376953,0.0,1.3197091778769385,0.0,1339.7525278727214,0.0,1.3197091778769385,0.35964675753091685,0.5926050891478857,1.3104265609013421,10.040894897460937,242.94085990131367
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,118,2.434448197014675,0.7511107796430587,2.3932364631295204,0.0,12.979037092578027,0.0,1000.0,0.0,0.0,0.5781625485227954,0.0,208.82523469002015,0.0,1.3107012557572875,0.0,3824.184612664437,0.0,1.3107012557572875,0.0,208.82523469002015,0.0,1.3418766230641517,0.0,2612.4432688067036,0.0,1.3418766230641517,0.3671833392955441,0.5781625485227954,1.3107012557572875,12.94716455078125,237.09944598519505
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,119,2.434448197014675,0.7527015814781189,2.354517089664936,0.0,10.722034931182861,0.0,1000.0,0.0,0.0,0.5808667751650015,0.0,206.21011034647623,0.0,1.2951915106150842,0.0,5743.507918731884,0.0,1.2951915106150842,0.0,206.21011034647623,0.0,1.361466406600509,0.0,1577.9013430277507,0.0,1.361466406600509,0.3741151634883547,0.5808667751650015,1.2951915106150842,9.898085296630859,275.6883800991304
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,120,2.4447955317843526,0.7506711819171905,2.4237699112892153,0.0,11.643064878880978,0.0,1000.0,0.0,0.0,0.5589302671141922,0.0,207.48208951950073,0.0,1.3021255875212057,0.0,4658.58182117358,0.0,1.3021255875212057,0.0,207.48208951950073,0.0,1.3861661875128282,0.0,1882.2559509277344,0.0,1.3861661875128282,0.38578862732680813,0.5589302671141922,1.3021255875212057,13.278853729248047,298.1492365551091
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,121,2.4447955317843526,0.7496111814975739,2.482563082695007,0.0,12.17873530552305,0.0,1000.0,0.0,0.0,0.5503948464475829,0.0,206.97612315210802,0.0,1.2968049391106247,0.0,3526.2588805523988,0.0,1.2968049391106247,0.0,206.97612315210802,0.0,1.4061727919800575,0.0,1920.2680243130387,0.0,1.4061727919800575,0.3931620858231415,0.5503948464475829,1.2968049391106247,12.004615142822265,204.52301507203913
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,122,2.4447955317843526,0.7518305804729462,2.4765479066371916,0.0,12.305793435950028,0.0,1000.0,0.0,0.0,0.5559732835543784,0.0,203.85222023411802,0.0,1.2789607456169307,0.0,4666.981902350253,0.0,1.2789607456169307,0.0,203.85222023411802,0.0,1.4199198430871751,0.0,1225.844482421875,0.0,1.4199198430871751,0.3955606518067312,0.5559732835543784,1.2789607456169307,7.746384368896484,177.34531228930962
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,123,2.4447955317843526,0.7533259803056717,2.4702104006409646,0.0,11.81625082913567,0.0,1000.0,0.0,0.0,0.5243048913338605,0.0,206.21334390079275,0.0,1.2940041815491856,0.0,4085.2981100712454,0.0,1.2940041815491856,0.0,206.21334390079275,0.0,1.431858745880968,0.0,1139.1865108714385,0.0,1.431858745880968,0.3999192183229442,0.5243048913338605,1.2940041815491856,7.011253692626953,138.90013574242232
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,124,2.4536073883551723,0.7533889822959899,2.462751979112625,0.0,9.335979389107745,0.0,1000.0,0.0,0.0,0.5244100430737371,0.0,204.50457896356997,0.0,1.2810373370514718,0.0,6480.342420636081,0.0,1.2810373370514718,0.0,204.50457896356997,0.0,1.4518942585083272,0.0,963.8741667374321,0.0,1.4518942585083272,0.4006293119767286,0.5244100430737371,1.2810373370514718,9.407210632324219,298.0957513492596
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,125,3.178042056171474,0.7503609811663627,2.5133473932147026,0.0,11.33528698373724,0.0,1000.0,0.0,0.0,0.5962226986885071,0.0,192.65790134006076,0.0,1.206566791647585,0.0,4957.82589734855,0.0,1.206566791647585,0.0,192.65790134006076,0.0,1.481882363711784,0.0,1494.9771321614583,0.0,1.481882363711784,0.4101800985083315,0.5962226986885071,1.206566791647585,10.40352667236328,267.72259845682174
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,126,3.178042056171474,0.7510679820775986,2.526924053311348,0.0,12.311230107357627,0.0,1000.0,0.0,0.0,0.5977011526885786,0.0,190.37784616570724,0.0,1.193303143187614,0.0,3954.4709928831885,0.0,1.193303143187614,0.0,190.37784616570724,0.0,1.4967692895280051,0.0,1326.5042981599506,0.0,1.4967692895280051,0.41652664973175096,0.5977011526885786,1.193303143187614,7.234358154296875,150.2698977295612
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,127,3.178042056171474,0.7513203815817833,2.5647923895716667,0.0,12.696088395335458,0.0,1000.0,0.0,0.0,0.5478458715264093,0.0,195.27895216508344,0.0,1.2234323969142247,0.0,4434.374346534513,0.0,1.2234323969142247,0.0,195.27895216508344,0.0,1.5187589484342765,0.0,1540.7889099121094,0.0,1.5187589484342765,0.4184432254584699,0.5478458715264093,1.2234323969142247,8.592273895263672,195.1124712475186
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,128,3.178042056171474,0.7528107795715332,2.5327411137223246,0.0,10.431374160866989,0.0,1000.0,0.0,0.0,0.5852203478938655,0.0,188.64847203304893,0.0,1.1800845456230964,0.0,7160.85553390488,0.0,1.1800845456230964,0.0,188.64847203304893,0.0,1.5416190568738155,0.0,845.6933706183182,0.0,1.5416190568738155,0.4194849636608745,0.5852203478938655,1.1800845456230964,7.16864193725586,272.11251028838547
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,129,3.178042056171474,0.7478765810728073,2.606281419456005,0.0,11.047995998552352,0.0,1000.0,0.0,0.0,0.5872640135613355,0.0,186.08523328376538,0.0,1.166654823858135,0.0,5142.137687321183,0.0,1.166654823858135,0.0,186.08523328376538,0.0,1.5725539206105086,0.0,1783.8915867660985,0.0,1.5725539206105086,0.43051818704862854,0.5872640135613355,1.166654823858135,12.281625396728515,339.38108736319805
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,130,3.178042056171474,0.7496513798236847,2.6268282963037493,0.0,11.600146770477295,0.0,1000.0,0.0,0.0,0.530130976722354,0.0,191.8460678827195,0.0,1.201758121317029,0.0,4410.678643416065,0.0,1.201758121317029,0.0,191.8460678827195,0.0,1.5888678926450766,0.0,1263.3066231863838,0.0,1.5888678926450766,0.43103171655831535,0.530130976722354,1.201758121317029,8.05753485107422,185.2485030234747
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,131,3.178042056171474,0.7493259801864623,2.6524967438578604,0.0,11.211228606246767,0.0,1000.0,0.0,0.0,0.49817754239553497,0.0,194.17879885718935,0.0,1.215665460571877,0.0,4608.403188242487,0.0,1.215665460571877,0.0,194.17879885718935,0.0,1.6094370403814586,0.0,1225.670901343936,0.0,1.6094370403814586,0.432003424371015,0.49817754239553497,1.215665460571877,8.155509552001954,193.55293390618442
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,132,3.178042056171474,0.7440859802961349,2.757048366725445,0.0,11.573006497489082,0.0,1000.0,0.0,0.0,0.5629151024752193,0.0,183.70444912380643,0.0,1.1516883241525362,0.0,3812.804721523067,0.0,1.1516883241525362,0.0,183.70444912380643,0.0,1.6415736847909566,0.0,2390.1804707845054,0.0,1.6415736847909566,0.4426708521347892,0.5629151024752193,1.1516883241525362,13.226720336914063,274.5219399496608
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,133,3.178042056171474,0.7455663805007935,2.7959207510352133,0.0,11.704418517925122,0.0,1000.0,0.0,0.0,0.4796819245373761,0.0,192.39373440212674,0.0,1.2062686827089213,0.0,3852.8310995884394,0.0,1.2062686827089213,0.0,192.39373440212674,0.0,1.6614988566893356,0.0,1548.5943874782986,0.0,1.6614988566893356,0.4382399414320371,0.4796819245373761,1.2062686827089213,10.389261657714844,208.0528793777757
