algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,3.6902813345462233,0.8634335786104202,0.4880114027261734,0.0,2.1638884110884233,0.0,1000.0,0.0,0.0,0.7837897037917917,0.0,0.9377608775619641,0.0,3418.5843834736447,0.0,0.9377608775619641,0.0,45.35386649045077,0.0,2.1830608033506507,0.0,149.8798592307351,0.0,149.87983044711027,0.0,2.1830608033506507,1.378096287356978,0.7837897037917917,0.9377608775619641,6.594713806152344,150.4177128728404
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,3.7374446595092303,0.8637889792919159,0.48325474113225936,0.0,2.4094815529309788,0.0,1000.0,0.0,0.0,0.8292822264708005,0.0,0.8937019419678869,0.0,3440.7663933258245,0.0,0.8937019419678869,0.0,87.12141312085666,0.0,2.245348266931596,0.0,142.65463902400091,0.0,142.65472412109375,0.0,2.245348266931596,1.37085139988425,0.8292822264708005,0.8937019419678869,7.418041229248047,178.9198524529429
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.8035359503933197,0.864688777923584,0.4784116458296776,0.0,2.191687407316985,0.0,1000.0,0.0,0.0,0.8346927441932537,0.0,0.880720277739127,0.0,3464.191754234116,0.0,0.880720277739127,0.0,59.21654764811198,0.0,2.306669700768344,0.0,140.4710622716833,0.0,140.47100604021992,0.0,2.306669700768344,1.362060093462287,0.8346927441932537,0.880720277739127,7.585437362670898,187.06635472864227
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.8732113213053454,0.8655999774932861,0.47280547565221787,0.0,2.137015007791065,0.0,1000.0,0.0,0.0,0.82734281818072,0.0,0.8774566464147208,0.0,3664.826080848702,0.0,0.8774566464147208,0.0,42.786097390311106,0.0,2.345783221055094,0.0,139.66088503882997,0.0,139.66102127801804,0.0,2.345783221055094,1.3581738839915882,0.82734281818072,0.8774566464147208,5.865757171630859,153.92269539564546
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,4.181860006066474,0.865682377576828,0.470160297870636,0.0,2.4251149743795395,0.0,1000.0,0.0,0.0,0.7850603321567178,0.0,0.9000494429672976,0.0,3684.279984562042,0.0,0.9000494429672976,0.0,85.88089537620544,0.0,2.406771700182097,0.0,143.61276149749756,0.0,143.61267495155334,0.0,2.406771700182097,1.3521172690009962,0.7850603321567178,0.9000494429672976,9.191216735839843,235.7939190119707
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,4.181860006066474,0.8662307792901993,0.46656330436468124,0.0,2.8654954300986395,0.0,1000.0,0.0,0.0,0.7998056014378866,0.0,0.8802789285028236,0.0,3570.919315905674,0.0,0.8802789285028236,0.0,71.57405259874132,0.0,2.4326261260208177,0.0,140.3438351949056,0.0,140.34377839830188,0.0,2.4326261260208177,1.352356460193668,0.7998056014378866,0.8802789285028236,5.052378067016601,128.55309537260428
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,4.370522913401078,0.8662787790298462,0.4641977902650833,0.0,2.5733963573972383,0.0,1000.0,0.0,0.0,0.829695500433445,0.0,0.8498154854432617,0.0,3643.4176910939873,0.0,0.8498154854432617,0.0,71.00608928998311,0.0,2.5002579816469908,0.0,135.48765468597412,0.0,135.48776149749756,0.0,2.5002579816469908,1.3401952248695725,0.829695500433445,0.8498154854432617,6.503407424926758,174.8840491725114
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,4.370522913401078,0.8662083767652512,0.46261583173274995,0.0,2.6507511711120606,0.0,1000.0,0.0,0.0,0.7984385108947754,0.0,0.8638310716955528,0.0,3455.1008816302156,0.0,0.8638310716955528,0.0,78.61317760467529,0.0,2.5543670443188877,0.0,137.77449157714844,0.0,137.77458984375,0.0,2.5543670443188877,1.333046000785549,0.7984385108947754,0.8638310716955528,6.888724578857422,172.75504408151073
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,4.370522913401078,0.8657763780355453,0.46229121613502505,0.0,2.57668106493197,0.0,1000.0,0.0,0.0,0.7520484736091212,0.0,0.888254860731327,0.0,3679.5040127741872,0.0,0.888254860731327,0.0,117.04028601395457,0.0,2.6219150978588606,0.0,141.62916263781096,0.0,141.62913914730674,0.0,2.6219150978588606,1.3234045875988378,0.7520484736091212,0.888254860731327,10.763816360473633,279.6423049708383
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,4.370522913401078,0.8664311782121659,0.45910817980766294,0.0,2.78762149810791,0.0,1000.0,0.0,0.0,0.7835578147102805,0.0,0.8572123198050696,0.0,3476.8013851639375,0.0,0.8572123198050696,0.0,52.47000436221852,0.0,2.6562907336820505,0.0,136.7819985782399,0.0,136.78195728975183,0.0,2.6562907336820505,1.3175478835400969,0.7835578147102805,0.8572123198050696,4.650587951660156,118.21124709557387
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,4.613922688865009,0.8668815777301788,0.4562245875597,0.0,2.322272163171035,0.0,1000.0,0.0,0.0,0.7828624397516251,0.0,0.8491680613571444,0.0,3987.3602612511363,0.0,0.8491680613571444,0.0,72.31907323690561,0.0,2.7235368139536753,0.0,135.53002049372748,0.0,135.52992688692532,0.0,2.7235368139536753,1.3056733231374056,0.7828624397516251,0.8491680613571444,7.047561065673828,207.34273358505908
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,4.613922688865009,0.8674645771980286,0.45359618031978605,0.0,2.4447427093982697,0.0,1000.0,0.0,0.0,0.783902159333229,0.0,0.8400005279624944,0.0,3872.64854263719,0.0,0.8400005279624944,0.0,53.52227463722229,0.0,2.7790761424662436,0.0,133.92049140930175,0.0,133.9204559326172,0.0,2.7790761424662436,1.2931490864732906,0.783902159333229,0.8400005279624944,5.35681965637207,154.9059417054876
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,4.974216537953429,0.8663461781740188,0.4551473510861397,0.0,2.7649294250720255,0.0,1000.0,0.0,0.0,0.7067803386095408,0.0,0.8843830200596051,0.0,3940.786787722288,0.0,0.8843830200596051,0.0,122.20826927391258,0.0,2.8198103359707027,0.0,141.21802561991925,0.0,141.2181633614205,0.0,2.8198103359707027,1.2987658765553782,0.7067803386095408,0.8843830200596051,10.450133895874023,291.6182222914493
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,4.974216537953429,0.867278778553009,0.4514170042872429,0.0,2.2201856063759844,0.0,1000.0,0.0,0.0,0.7200425357922263,0.0,0.8666040002071117,0.0,3881.8593030745174,0.0,0.8666040002071117,0.0,47.42202145120372,0.0,2.86095984412145,0.0,138.23645185387653,0.0,138.23648801057234,0.0,2.86095984412145,1.295336676447675,0.7200425357922263,0.8666040002071117,6.35887678527832,178.56552794142775
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,4.974216537953429,0.8668553779125213,0.4515880497097969,0.0,2.7603866537412007,0.0,1000.0,0.0,0.0,0.746519927183787,0.0,0.8402328201149205,0.0,4062.65951394214,0.0,0.8402328201149205,0.0,98.66167386372884,0.0,2.9140331108763946,0.0,134.05229670206705,0.0,134.05235290527344,0.0,2.9140331108763946,1.2943263369136178,0.746519927183787,0.8402328201149205,8.043137802124024,243.75957083652838
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,5.051701819253972,0.865437378525734,0.4546989067196846,0.0,3.0508838247608496,0.0,1000.0,0.0,0.0,0.7741937403743332,0.0,0.8135066308192401,0.0,3844.1976655486906,0.0,0.8135066308192401,0.0,159.67334912274336,0.0,2.98084765835619,0.0,129.88270094587998,0.0,129.88271290547138,0.0,2.98084765835619,1.2943117060092713,0.7741937403743332,0.8135066308192401,9.611319869995118,284.4706272506032
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,5.130813031206119,0.8667733781337738,0.4501768966913223,0.0,2.1896528316580732,0.0,1000.0,0.0,0.0,0.7609152949374655,0.0,0.8141366649428158,0.0,3999.714304818856,0.0,0.8141366649428158,0.0,44.48148329361625,0.0,3.0401347140694432,0.0,129.75578042735225,0.0,129.75580331553584,0.0,3.0401347140694432,1.2876921479540084,0.7609152949374655,0.8141366649428158,5.968765899658203,183.9868580216674
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,5.165928992991177,0.866314978480339,0.4512055761814117,0.0,2.721285417162139,0.0,1000.0,0.0,0.0,0.7655301237928456,0.0,0.8030338816347206,0.0,3612.4924401926387,0.0,0.8030338816347206,0.0,93.0236632248451,0.0,3.1042595732065528,0.0,128.16305252601362,0.0,128.1629849137931,0.0,3.1042595732065528,1.2869105085361916,0.7655301237928456,0.8030338816347206,7.4334570465087895,209.52456153117302
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,5.2401689648673715,0.8653857771158219,0.453466894030571,0.0,2.8102847482218887,0.0,1000.0,0.0,0.0,0.7922267254554864,0.0,0.777849977217515,0.0,3778.151764578539,0.0,0.777849977217515,0.0,132.0484760168827,0.0,3.195289752516935,0.0,124.10538482666016,0.0,124.10535870176373,0.0,3.195289752516935,1.2767430488637914,0.7922267254554864,0.777849977217515,8.19095539855957,249.35801646218357
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,45,5.258500616439672,0.8651987792253494,0.45298918324708937,0.0,3.137562486860487,0.0,1000.0,0.0,0.0,0.7167849187497739,0.0,0.8182140603907653,0.0,3766.947634104499,0.0,0.8182140603907653,0.0,125.91702355278863,0.0,3.2226569334535298,0.0,130.52907477484808,0.0,130.5291951497396,0.0,3.2226569334535298,1.2887209143606762,0.7167849187497739,0.8182140603907653,7.048570037841797,203.41517224164292
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,46,5.337139901642538,0.8655825785398483,0.451790665268898,0.0,3.2855954044743587,0.0,1000.0,0.0,0.0,0.7835846449199476,0.0,0.7679031198055372,0.0,3830.324459784086,0.0,0.7679031198055372,0.0,79.85004806518555,0.0,3.261116234430105,0.0,122.39196536415501,0.0,122.3919906616211,0.0,3.261116234430105,1.2929205907018104,0.7835846449199476,0.7679031198055372,4.65089468383789,145.5523294717953
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,47,5.3918565930791305,0.8641655781269073,0.4564963926672935,0.0,3.1304424260601853,0.0,1000.0,0.0,0.0,0.7428741464109132,0.0,0.7857065100100057,0.0,3594.911991461864,0.0,0.7857065100100057,0.0,134.5385883215702,0.0,3.3387670119875956,0.0,125.3407430937796,0.0,125.34074286258581,0.0,3.3387670119875956,1.2871834470576902,0.7428741464109132,0.7857065100100057,8.272489044189452,237.26419143648303
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,48,5.3918565930791305,0.8647221781015396,0.4539698083400726,0.0,3.164319759607315,0.0,1000.0,0.0,0.0,0.6914547577500343,0.0,0.809706063331222,0.0,4092.2568981828445,0.0,0.809706063331222,0.0,81.92203865051269,0.0,3.3620158999312966,0.0,129.1650577545166,0.0,129.1650592803955,0.0,3.3620158999312966,1.2960411190523873,0.6914547577500343,0.809706063331222,5.166602310180664,163.6902759273138
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,49,5.514044132943483,0.8641209765672684,0.4567129702568054,0.0,3.48988616195592,0.0,1000.0,0.0,0.0,0.7534956634044647,0.0,0.7636414570637604,0.0,3665.8652680231808,0.0,0.7636414570637604,0.0,111.16977240822531,0.0,3.399796179248883,0.0,121.79448769309305,0.0,121.79450572620739,0.0,3.399796179248883,1.3084333084392479,0.7534956634044647,0.7636414570637604,5.358957458496094,161.29807179301994
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,50,5.581512134000158,0.863947578072548,0.4571683570146561,0.0,3.0674943017959593,0.0,1000.0,0.0,0.0,0.7410672748088837,0.0,0.7635812963439912,0.0,3798.2877030860755,0.0,0.7635812963439912,0.0,98.31696533203124,0.0,3.463382976304091,0.0,121.81419921875,0.0,121.81429809570312,0.0,3.463382976304091,1.3033330358799877,0.7410672748088837,0.7635812963439912,6.0907099609375,189.91438515430374
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,51,5.653166852294551,0.8636319754719735,0.45980476373434065,0.0,3.497804980386387,0.0,1000.0,0.0,0.0,0.7700880142775449,0.0,0.738556709754549,0.0,3780.6130320224834,0.0,0.738556709754549,0.0,101.7378158569336,0.0,3.5227955825552626,0.0,117.6451266895641,0.0,117.64508854259144,0.0,3.5227955825552626,1.3026994982236058,0.7700880142775449,0.738556709754549,5.17638557434082,166.34697340898927
