algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,63,0.0,0.8842405768632888,0.38981017577648164,0.0,0.023257252670824527,0.0,,0.0,0.0,0.006557027300004847,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,64,0.0,0.8843789777755737,0.38929482984542846,0.0,0.02314224972575903,0.0,,0.0,0.0,0.005974613130092621,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,65,0.0,0.8844437780380249,0.3887670539021492,0.0,0.022966923639178276,0.0,,0.0,0.0,0.005050528552741385,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,66,0.0,0.8845111774206161,0.38841148728132247,0.0,0.022677115749567746,0.0,,0.0,0.0,0.004436228834092617,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,67,0.0,0.8845947775840759,0.38803486168384554,0.0,0.02247189563140273,0.0,,0.0,0.0,0.005994012643551004,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,68,0.0,0.8846857771873474,0.3877013527750969,0.0,0.022207459058612586,0.0,,0.0,0.0,0.006614201620002003,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,69,0.0,0.8847325767278671,0.38735441291332245,0.0,0.021999683942645787,0.0,,0.0,0.0,0.0025205608138716535,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,70,0.0,0.8848003778457642,0.38705410850048066,0.0,0.021776207201182844,0.0,,0.0,0.0,0.0024146647192537785,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,71,0.0,0.8848365776538849,0.38679316252470014,0.0,0.02163783001154661,0.0,,0.0,0.0,0.004047695340969684,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,72,0.0,0.8848819764852524,0.3865696089863777,0.0,0.021396878458559514,0.0,,0.0,0.0,0.004161901762709022,0.0
