algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,12,10.329970878386213,0.3072599915166696,219.0218282520771,0.0,66.47916956710816,0.08469626891116301,1000.0,0.0,0.0,245196.7295,151268.62421875,152.42189208984374,0.0,0.8744900106191635,0.0,0.9553450891839952,0.0,8.14433104676412,0.0,152.42189208984374,0.0,196.97949814528036,0.0,8.14433104676412,0.8930122514826245,0.8744900106191635,0.9553450891839952,79.38640213012695,102.59348861733348
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,13,10.739798711548469,0.32277124157796305,244.47388404607773,0.0,67.61711289589866,0.08215157526234786,1000.0,0.0,0.0,256620.59655975876,101085.05755208334,149.15159004612974,0.0,0.8854445663460514,0.0,0.934488788798256,0.0,8.391894787794934,0.0,149.15159004612974,0.0,172.99293012468243,0.0,8.391894787794934,0.9120824064944173,0.8854445663460514,0.934488788798256,70.84700527191163,82.17164180922416
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,14,11.388844778441586,0.33629874140024185,268.05050583283105,0.0,67.41444945335388,0.08180296694238981,1000.0,0.0,0.0,257095.85860770088,115083.137109375,147.50403050013952,0.0,0.8830748684704304,0.0,0.9249337063077342,0.0,8.640011331719888,0.0,147.50403050013952,0.0,172.50628004734608,0.0,8.640011331719888,0.9199962111775477,0.8830748684704304,0.9249337063077342,68.83521423339843,80.50293068876151
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,15,12.059666052041415,0.34801915728797517,293.32023848692575,0.0,67.2744715815005,0.08667043931782245,1000.0,0.0,0.0,239234.86222826087,149125.76328125,146.45591642960258,0.0,0.8773360257563384,0.0,0.9181765615378767,0.0,8.890899583955903,0.0,146.45591642960258,0.0,158.48579027182745,0.0,8.890899583955903,0.9385488677398277,0.8773360257563384,0.9181765615378767,70.17679328918457,75.94110783858399
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,16,12.059666052041415,0.3588533248131474,322.50928076108295,0.0,68.10382875621828,0.08799573108553886,1000.0,0.0,0.0,274993.2528044872,157556.52916666667,143.2769978841146,0.0,0.8871433566778134,0.0,0.8988496592685405,0.0,9.16602490214465,0.0,143.2769978841146,0.0,149.24242453006144,0.0,9.16602490214465,0.9549965410223681,0.8871433566778134,0.8988496592685405,69.84753646850587,72.75568195840494
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,17,12.75853256252689,0.3690820732464393,351.82850685119627,0.0,68.81401377138884,0.09025730211287737,1000.0,0.0,0.0,311082.2835597826,145929.58606770833,140.3449860945992,0.0,0.8967777516530908,0.0,0.8798976902783857,0.0,9.4550842117271,0.0,140.3449860945992,0.0,149.19862151720588,0.0,9.4550842117271,0.997714979832455,0.8967777516530908,0.8798976902783857,67.24863917032877,71.49100614366112
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,18,12.75853256252689,0.37698832402626675,386.8820079644521,0.0,68.23722636113402,0.09093260833372672,1000.0,0.0,0.0,292799.5637807377,170288.94453125,139.53253736652312,0.0,0.8886159809886433,0.0,0.8751893372759045,0.0,9.777356237783318,0.0,139.53253736652312,0.0,143.38933065163414,0.0,9.777356237783318,1.0862086507980122,0.8886159809886433,0.8751893372759045,70.92903982798258,72.88957641458069
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,19,13.083106061892101,0.38559582407275833,422.32535258928937,0.0,68.42444480337748,0.09667892803748449,1000.0,0.0,0.0,303099.3955792683,162820.37239583334,137.68942614299496,0.0,0.8896301786104838,0.0,0.863292742232104,0.0,10.118325728506594,0.0,137.68942614299496,0.0,140.4305441455667,0.0,10.118325728506594,1.1991041663849005,0.8896301786104838,0.863292742232104,70.56583089828491,71.97065387460293
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,20,13.435729611416892,0.3949620731174946,449.04438241322833,0.5127958899505449,67.52774356973582,0.8214020142952602,1000.0,0.35920893313601504,0.8958228485153498,303953.0192618534,130338.15143229166,137.6107672987313,0.0,0.8761747479438782,0.0,0.8625909157265574,0.0,10.439719510769661,0.0,137.6107672987313,0.0,139.44283497884078,0.0,10.439719510769661,1.2273271639685726,0.8761747479438782,0.8625909157265574,66.51187086105347,67.39737023977305
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,21,13.72363142378164,0.4049458239848415,480.9258922576904,0.5219035017248712,68.25594961232153,0.9959333062171936,1000.0,0.3680597213890555,0.8967197141929197,284617.0272090517,149561.33932291667,134.72383979271197,0.0,0.8855985629147497,0.0,0.8444186615643875,0.0,10.79923514046502,0.0,134.72383979271197,0.0,136.18097194825702,0.0,10.79923514046502,1.322943568520336,0.8855985629147497,0.8444186615643875,65.11652256647746,65.82080310832423
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,22,13.72363142378164,0.4128616559008757,519.1312755902608,0.5192446693169498,68.39703029344062,0.9999999781449636,1000.0,0.3656084992684013,0.8955898394888577,268281.393907563,169382.23958333334,132.7463505849117,0.0,0.8873198227722103,0.0,0.8322206689085198,0.0,11.165314826251748,0.0,132.7463505849117,0.0,133.9029393932682,0.0,11.165314826251748,1.3882992177285087,0.8873198227722103,0.8322206689085198,65.82006549835205,66.39354078249549
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,23,14.022170645382632,0.4231270711869001,541.973767264684,0.5558032243014877,67.86323743547712,0.9999999701976776,1000.0,0.4021755438859715,0.8993457473578259,249274.29694940476,132650.592578125,131.75489705403646,0.0,0.8810546761467344,0.0,0.8260119921498091,0.0,11.473698165200066,0.0,131.75489705403646,0.0,132.42990205761083,0.0,11.473698165200066,1.4022710232360265,0.8810546761467344,0.8260119921498091,57.64276746114095,57.938082150204735
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,24,14.426831694415645,0.42693665573994316,592.0399472872416,0.48029062969767833,68.13692416125582,0.999999984105428,1000.0,0.328365878725591,0.8938451973888716,336657.30009541987,162938.04114583333,129.79809366473714,0.0,0.8840019889460266,0.0,0.8130656630198202,0.0,11.885836732150786,0.0,129.79809366473714,0.0,129.97175833916216,0.0,11.885836732150786,1.463106366733326,0.8840019889460266,0.8130656630198202,70.8481261253357,70.94291809345935
