algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.8342777816199254,0.8652981772422791,0.4974171083569527,0.0,1.2379418100629533,0.0,1000.0,0.0,0.0,0.8918663830984206,0.0,13.014186632065545,0.0,0.9218960313243725,0.0,0.9218960313243725,0.0,3185.4882932547216,0.0,147.01847185407365,0.0,147.01844351632255,0.0,1.6236209312773167,0.0,1.6236209312773167,1.1184411331546869,0.8918663830984206,0.9218960313243725,6.174774627685547,133.79050831669832
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,2.8793770652873762,0.8666151784658432,0.48956972086429595,0.0,1.275682920217514,0.0,1000.0,0.0,0.0,0.866171196103096,0.0,11.168436574935914,0.0,0.9357566995498237,0.0,0.9357566995498237,0.0,3425.5008587337493,0.0,149.33310470581054,0.0,149.33317947387695,0.0,1.6608408374985015,0.0,1.6608408374985015,1.1142140324715866,0.866171196103096,0.9357566995498237,5.973327178955078,137.02003434935
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,3.025944825233569,0.8679097782373428,0.48216923302412035,0.0,1.0313864381689775,0.0,1000.0,0.0,0.0,0.9236092881152504,0.0,9.92751505500392,0.0,0.8812741781475462,0.0,0.8812741781475462,0.0,3304.2648946294257,0.0,140.71717834472656,0.0,140.71716067665503,0.0,1.716492248348232,0.0,1.716492248348232,1.1059923920144068,0.9236092881152504,0.8812741781475462,5.347252105712891,125.56206599591819
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,3.052498249258105,0.8689263783693314,0.4757249698638916,0.0,1.152021884918213,0.0,1000.0,0.0,0.0,0.8050524741411209,0.0,12.531944231553512,0.0,0.9705447890041032,0.0,0.9705447890041032,0.0,3688.228112057186,0.0,155.11709109219638,0.0,155.1171306263317,0.0,1.7558041344668642,0.0,1.7558041344668642,1.1001796912358748,0.8050524741411209,0.9705447890041032,6.825153747558594,162.2820369305162
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,3.052498249258105,0.8696519775390625,0.4700971223115921,0.0,1.2726325805370624,0.0,1000.0,0.0,0.0,0.8474331406446604,0.0,24.643543903644268,0.0,0.9286638063520429,0.0,0.9286638063520429,0.0,3694.3708405525326,0.0,148.2367225060096,0.0,148.23664093017578,0.0,1.8034167390988414,0.0,1.8034167390988414,1.0929720455291372,0.8474331406446604,0.9286638063520429,7.708305328369141,192.1072837087317
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,3.1415515014404995,0.8705999776124954,0.4646670756936073,0.0,1.1692361942044012,0.0,1000.0,0.0,0.0,0.8560213137556005,0.0,16.92372081897877,0.0,0.9143994773111319,0.0,0.9143994773111319,0.0,3709.156830568541,0.0,145.84402437563296,0.0,145.84396927445025,0.0,1.8536484044839647,0.0,1.8536484044839647,1.0872293106306363,0.8560213137556005,0.9143994773111319,7.875574340820313,200.2944688507012
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,3.1674262312729224,0.8713821784257889,0.4595956783294678,0.0,1.1130499272119432,0.0,1000.0,0.0,0.0,0.8348567897365207,0.0,11.738835698082333,0.0,0.9238957916755302,0.0,0.9238957916755302,0.0,3894.654727414819,0.0,147.050416855585,0.0,147.05038088843935,0.0,1.884794488202343,0.0,1.884794488202343,1.0844064249641505,0.8348567897365207,0.9238957916755302,6.1761159973144535,163.57549855142238
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,3.2986043947575885,0.8718705781698227,0.4555635423064232,0.0,1.3081340696662664,0.0,1000.0,0.0,0.0,0.8128615943714976,0.0,24.529657065868378,0.0,0.9338361448095073,0.0,0.9338361448095073,0.0,3977.7815456640687,0.0,149.00720953941345,0.0,149.00723958015442,0.0,1.932650125132463,0.0,1.932650125132463,1.079683834784757,0.8128615943714976,0.9338361448095073,9.536463333129882,254.5780189225004
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,3.2986043947575885,0.8725393786430359,0.4513935646414757,0.0,1.5112766590383317,0.0,1000.0,0.0,0.0,0.8223298291365305,0.0,19.987193796369766,0.0,0.91900662773525,0.0,0.91900662773525,0.0,3934.068979651309,0.0,146.51561737060547,0.0,146.51569069756403,0.0,1.9526048197763817,0.0,1.9526048197763817,1.0797316945972433,0.8223298291365305,0.91900662773525,5.274564865112304,141.62648326744716
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,3.356472249185424,0.873066978931427,0.44775426214933395,0.0,1.3490640955666702,0.0,1000.0,0.0,0.0,0.8438905216753483,0.0,19.47115796804428,0.0,0.8949928676896252,0.0,0.8949928676896252,0.0,3977.087240862653,0.0,142.68763637542725,0.0,142.68759854634604,0.0,2.005944918614237,0.0,2.005944918614237,1.0696592239021625,0.8438905216753483,0.8949928676896252,6.8490047302246095,190.90018756140734
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,3.356472249185424,0.8733915791511536,0.4446966146826744,0.0,1.4243016028404236,0.0,1000.0,0.0,0.0,0.82625821352005,0.0,22.505056419372558,0.0,0.9014026344059929,0.0,0.9014026344059929,0.0,3907.1140837082426,0.0,143.773662109375,0.0,143.77371307373048,0.0,2.0474148208695206,0.0,2.0474148208695206,1.062878358353519,0.82625821352005,0.9014026344059929,7.188685653686523,195.35570418541212
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,3.360253110853019,0.8735827769041061,0.4421098299026489,0.0,1.3920829829416776,0.0,1000.0,0.0,0.0,0.7828222819064793,0.0,34.28753797631515,0.0,0.9273120310331537,0.0,0.9273120310331537,0.0,4097.505636639354,0.0,147.8539770025956,0.0,147.85401053177682,0.0,2.0991617840211747,0.0,2.0991617840211747,1.0543151524995662,0.7828222819064793,0.9273120310331537,11.236904800415038,311.41042838459094
