algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,81,1.6411016851793798,0.8810495783090592,0.39608962649106977,0.0,0.0204204972833395,0.0,1000.0,0.0,0.0,1.6136698007583619,0.0,0.07588296446990665,0.0,1.1091436123847962,0.0,1.6,0.0,1.6411016851793794,0.0,1.6411016851793794,4.440892098500626e-16,0.505,0.920700914732994,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,82,1.6618362271967158,0.8811293783187866,0.3959481762051582,0.0,0.01980209130455147,0.0,1000.0,1.0,0.0,1.9810883782126687,0.0,0.06305142900766049,0.0,1.0645141764120623,0.0,0.0,0.0,1.6618362271967158,0.0,1.6618362271967158,0.0,0.5100000000000001,0.9205409933272383,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,83,1.6828539294581155,0.8811343785524368,0.39602689999341967,0.0,0.020505146589130163,0.0,1000.0,0.0,0.0,1.9047026932239532,0.0,0.06870341742067208,0.0,1.0954410165548325,0.0,1.9,0.0,1.6828539294581155,0.0,1.6828539294581155,0.0,0.515,0.91999219873069,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,84,1.7041571929909036,0.8811429777145385,0.3961463884115219,0.0,0.019637277233414352,0.0,1000.0,0.0,0.0,1.1543276626616716,0.0,0.06445898569010884,0.0,0.899935768917203,0.0,1.9375,0.0,1.7041571929909038,0.0,1.7041571929909038,2.220446049250313e-16,0.52,0.9183650170430661,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,85,1.7237902865194517,0.8811383781433105,0.39633935981988905,0.0,0.020494514060291378,0.0,1000.0,0.0,0.0,1.7506104653531855,0.0,0.07302009766120758,0.0,1.1786383471705697,0.0,1.6363636363636365,0.0,1.7237902865194517,0.0,1.7237902865194517,0.0,0.525,0.9176850117517958,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,86,1.741264120988222,0.8811579775810242,0.3964160068035126,0.0,0.019813747590650684,0.0,1000.0,0.0,0.0,1.4528807349826978,0.0,0.061887950283694176,0.0,0.9566464527793552,0.0,1.7391304347826086,0.0,1.7412641209882223,0.0,1.7412641209882223,2.220446049250313e-16,0.53,0.916935483882494,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,87,1.7589593571683402,0.8811961785554886,0.396448688685894,0.0,0.019530766061507165,0.0,1000.0,0.0,0.0,2.2752625048160553,0.0,0.07589404147021228,0.0,1.2939812764525414,0.0,0.75,0.0,1.7589593571683402,0.0,1.7589593571683402,0.0,0.535,0.9166110469530766,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,88,1.776877525211812,0.8811941772699357,0.39655203437805175,0.0,0.019740339911853273,0.0,1000.0,0.0,0.0,1.36641742537419,0.0,0.05778671840056523,0.0,0.9251330643892288,0.0,2.5,0.0,1.7768775252118123,0.0,1.7768775252118123,2.220446049250313e-16,0.54,0.9158105072624766,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,89,1.7950201760492908,0.8812325775623322,0.3965918428301811,0.0,0.019400602413548365,0.0,1000.0,0.0,0.0,1.9932177662849426,0.0,0.07126371864920461,0.0,1.1330371995766957,0.0,1.3333333333333333,0.0,1.7950201760492914,0.0,1.7950201760492914,6.661338147750939e-16,0.545,0.9153910766325587,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,90,1.8133888818654789,0.8812075772285461,0.3969878407716751,0.0,0.018896130942984632,0.0,1000.0,0.0,0.0,1.2364061490485543,0.0,0.06538643475997703,0.0,1.0505347604814328,0.0,2.736842105263158,0.0,1.8133888818654786,0.0,1.8133888818654786,2.220446049250313e-16,0.55,0.9133987963568406,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,91,1.8319852365903806,0.8811775777339935,0.39716029638051986,0.0,0.019143620991836422,0.0,1000.0,0.0,0.0,1.798505881558294,0.0,0.07349401577751856,0.0,1.172326033530028,0.0,1.0434782608695652,0.0,1.8319852365903806,0.0,1.8319852365903806,0.0,0.555,0.9126636324225602,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,92,1.850810856407108,0.8811895781755448,0.39736397403478624,0.0,0.019254594498003524,0.0,1000.0,0.0,0.0,1.5003822495539982,0.0,0.0632214782702804,0.0,1.002024141450723,0.0,1.9166666666666667,0.0,1.8508108564071082,0.0,1.8508108564071082,2.220446049250313e-16,0.56,0.9118536128101647,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,93,1.8698673802769759,0.8812459771633148,0.39738901901245116,0.0,0.0183042181082643,0.0,1000.0,0.0,0.0,1.1784220108619103,0.0,0.05350310457044793,0.0,0.8556451728710761,0.0,2.3846153846153846,0.0,1.8698673802769756,0.0,1.8698673802769756,2.220446049250313e-16,0.5650000000000001,0.9109471759118587,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,94,1.8891564704826673,0.8812299777269363,0.3975445967912674,0.0,0.01785851363092661,0.0,1000.0,0.0,0.0,1.5035563051700591,0.0,0.05998717953575368,0.0,0.9639672592282296,0.0,0.7,0.0,1.8891564704826675,0.0,1.8891564704826675,2.220446049250313e-16,0.5700000000000001,0.9103879762422593,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,95,1.9086798131902873,0.8811877777576447,0.3978710912466049,0.0,0.018272007494394123,0.0,1000.0,0.0,0.0,1.237476359153616,0.0,0.06035390042661735,0.0,0.981359089243001,0.0,1.9310344827586208,0.0,1.908679813190287,0.0,1.908679813190287,4.440892098500626e-16,0.5750000000000001,0.9091642957876559,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,96,1.92843911903118,0.8811553771495819,0.39818064552545546,0.0,0.017734347177403315,0.0,1000.0,0.0,0.0,1.0884030546460832,0.0,0.058823384103238,0.0,0.9101768961974552,0.0,2.4571428571428573,0.0,1.9284391190311796,0.0,1.9284391190311796,4.440892098500626e-16,0.5800000000000001,0.9072513703184041,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,97,1.9484361237044188,0.8812213791608811,0.3983392319083214,0.0,0.017615816489394222,0.0,1000.0,0.0,0.0,1.1997556175504411,0.0,0.055960525810218945,0.0,0.8651901419673648,0.0,1.7142857142857142,0.0,1.9484361237044185,0.0,1.9484361237044185,2.220446049250313e-16,0.5850000000000001,0.9061650914915979,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,98,1.9686725886009477,0.8812577773332596,0.398418710231781,0.0,0.018011541438422034,0.0,1000.0,0.0,0.0,1.3595604385648454,0.0,0.04963797720774905,0.0,0.9013033764702933,0.0,1.1428571428571428,0.0,1.9686725886009477,0.0,1.9686725886009477,0.0,0.5900000000000001,0.9058630394583004,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,99,1.9891503014503917,0.8812501776218414,0.3986501665115356,0.0,0.017454751321802967,0.0,1000.0,0.0,0.0,1.3539747621702112,0.0,0.05836877386216809,0.0,0.9089844097261843,0.0,1.1304347826086956,0.0,1.9891503014503915,0.0,1.9891503014503915,2.220446049250313e-16,0.5950000000000001,0.9051300282839868,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,100,2.009871076991628,0.8812949765920639,0.3988707180023193,0.0,0.017530964565989765,0.0,1000.0,0.0,0.0,1.507459977398748,0.0,0.058505752671625916,0.0,0.977726407673048,0.0,2.260869565217391,0.0,2.0098710769916286,0.0,2.0098710769916286,4.440892098500626e-16,0.6000000000000001,0.9044111397778439,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,101,2.030836757668269,0.8812655773162842,0.3991193168759346,0.0,0.017187541412810484,0.0,1000.0,0.0,0.0,1.0995555559794108,0.0,0.05302634316124058,0.0,0.8136774132649104,0.0,2.2,0.0,2.030836757668269,0.0,2.030836757668269,0.0,0.6050000000000001,0.9031204630786432,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,102,2.052049214350262,0.8812379771471024,0.3994306507706642,0.0,0.016864466032496205,0.0,1000.0,0.0,0.0,1.0615071610168174,0.0,0.053094810954665256,0.0,0.8523961691944687,0.0,1.8518518518518519,0.0,2.0520492143502627,0.0,2.0520492143502627,4.440892098500626e-16,0.6100000000000001,0.9020810028805126,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,103,2.073510347082919,0.8812109785079956,0.399739828646183,0.0,0.016451591792117273,0.0,1000.0,0.0,0.0,1.1322165323155267,0.0,0.05408513038230389,0.0,0.861398886357035,0.0,1.7857142857142858,0.0,2.073510347082919,0.0,2.073510347082919,0.0,0.6150000000000001,0.9010095053638567,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,104,2.0952220858647213,0.8811803778409958,0.4000343805551529,0.0,0.016582607260594764,0.0,1000.0,0.0,0.0,1.1244095941384633,0.0,0.05281003240756805,0.0,0.8934425314267477,0.0,2.933333333333333,0.0,2.095222085864721,0.0,2.095222085864721,4.440892098500626e-16,0.6200000000000001,0.8997526277707251,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,105,2.1171863914553666,0.8812121784687043,0.4002143145799637,0.0,0.016524016128286072,0.0,1000.0,0.0,0.0,0.9600711257561393,0.0,0.045128650332971094,0.0,0.7613953222399172,0.0,2.5217391304347827,0.0,2.1171863914553666,0.0,2.1171863914553666,0.0,0.625,0.8987714798033816,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,106,2.1394052562155976,0.8812377778291702,0.4004968786239624,0.0,0.01622302728074212,0.0,1000.0,0.0,0.0,0.8673188436415887,0.0,0.043398381370692574,0.0,0.6799281037622883,0.0,2.5806451612903225,0.0,2.1394052562155976,0.0,2.1394052562155976,0.0,0.6300000000000001,0.897455965912,0.0
