algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,26,14.705035108995949,0.427529572074612,873.2736039479573,0.5136337606272852,82.65904079499792,0.9999999781449636,1000.0,0.3597211081631394,0.8977517708654142,273.7716460931496,0.0,11.671398497005107,0.0,433717.48719262297,253759.57864583333,1.7160658486697906,0.0,1.7160658486697906,0.0,276.8180776031432,0.0,273.7716460931496,0.0,0.883175543097199,0.0,11.671398497005107,1.3312695801149954,0.883175543097199,1.7160658486697906,139.1672534306844,140.71585611493114
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,27,14.705035108995949,0.43767040483653546,903.6636909802754,0.551306363253266,81.97523280552456,0.9999999831120173,1000.0,0.3977652782000608,0.8979066575154427,273.3289319719587,0.0,11.916846907822668,0.0,384088.52395833336,172178.01875,1.712270724343661,0.0,1.712270724343661,0.0,273.3289382650409,0.0,273.3289319719587,0.0,0.8743692574046907,0.0,11.916846907822668,1.3095297037625213,0.8743692574046907,1.712270724343661,119.58140773773194,119.58141049095539
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,28,15.19153367136895,0.44148707029720147,963.1053140004476,0.5029858230387018,82.23636551533849,0.9999999821186065,1000.0,0.34986365654131524,0.894455252918288,270.1973542773034,0.0,12.193470384323094,0.0,461843.6073088843,210450.18828125,1.6934964322176078,0.0,1.6934964322176078,0.0,271.46660622751887,0.0,270.1973542773034,0.0,0.8754455693497145,0.0,12.193470384323094,1.3209130504674982,0.8754455693497145,1.6934964322176078,136.22449944814045,136.86441397304077
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,29,15.3578319908746,0.44871665475269157,1016.3065984090169,0.5154971029154788,80.77274816176471,0.9999999880790711,1000.0,0.361729590190384,0.8966565349544073,271.1985898057954,0.0,12.461239404976833,0.0,399812.3520220588,216465.87942708333,1.7013140425265003,0.0,1.7013140425265003,0.0,271.77128335673007,0.0,271.1985898057954,0.0,0.8588203271897901,0.0,12.461239404976833,1.344552062638632,0.8588203271897901,1.7013140425265003,134.46930077870687,134.7532613310453
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,30,15.546618511293536,0.4530916557957729,1081.307203801473,0.4991713059368493,81.69857962300458,0.9999999771515529,1000.0,0.3459386228426695,0.8960939884040281,266.7201189656896,0.0,12.749067557731491,0.0,445249.56914370076,252136.95390625,1.6705009226218541,0.0,1.6705009226218541,0.0,268.0269766123555,0.0,266.7201189656896,0.0,0.8681488163827911,0.0,12.749067557731491,1.3517349297439154,0.8681488163827911,1.6705009226218541,141.13939628601074,141.83094179070483
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,31,15.894559810631884,0.45862123953799405,1134.7588647842408,0.5198412698412698,81.4421693817908,0.9999999672174453,1000.0,0.3663404093046905,0.8947531822415399,264.6473902854599,0.0,13.015972200938215,0.0,399335.7170430672,241580.70807291666,1.6580719602709313,0.0,1.6580719602709313,0.0,264.6609611806895,0.0,264.6473902854599,0.0,0.8651977787498667,0.0,13.015972200938215,1.387610680944618,0.8651977787498667,1.6580719602709313,131.2209976832072,131.22772658542524
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,32,16.203470519989214,0.46301998806496464,1186.151512781779,0.516921468705083,80.56032612284676,0.999999980131785,1000.0,0.36282482421277895,0.8985463355542096,263.6885507302206,0.0,13.293670897591722,0.0,383400.57889344264,252084.7828125,1.654021710449382,0.0,1.654021710449382,0.0,263.6885560304516,0.0,263.6885507302206,0.0,0.8565092042821353,0.0,13.293670897591722,1.3763958817009876,0.8565092042821353,1.654021710449382,134.0416799545288,134.0416826488129
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,33,16.77436423967154,0.46711582119266193,1253.7689111073812,0.49947386881795863,81.22859702571746,0.9999999850988388,1000.0,0.3463877402091948,0.8950345694531741,260.4143429417764,0.0,13.575957513643635,0.0,420627.54309475806,232178.84895833334,1.631770717077888,0.0,1.631770717077888,0.0,260.64411976795793,0.0,260.4143429417764,0.0,0.8604708852306489,0.0,13.575957513643635,1.4076101800778085,0.8604708852306489,1.631770717077888,134.5474105199178,134.66612854677825
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,34,17.40255797671594,0.4716529036561648,1318.264878400167,0.49944039038366833,81.32964904909211,0.9999999940395355,1000.0,0.34618010302240426,0.8962082262210797,256.9905066761544,0.0,13.860362982555834,0.0,463682.40154979675,217685.57526041666,1.6124659719932295,0.0,1.6124659719932295,0.0,257.1903283111837,0.0,256.9905066761544,0.0,0.8625493849196085,0.0,13.860362982555834,1.4457337738395588,0.8625493849196085,1.6124659719932295,131.70763467152912,131.81004325948166
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,35,17.99071185582791,0.47645165510475634,1373.3081368764242,0.5146607092990785,81.339996693498,0.9999999910593033,1000.0,0.3612780972294825,0.8943707538013588,254.77446488202628,0.0,14.14069837415313,0.0,402662.9785487288,215402.45104166667,1.5968691143825307,0.0,1.5968691143825307,0.0,254.77446898479457,0.0,254.77446488202628,0.0,0.8621426871267416,0.0,14.14069837415313,1.458561393263984,0.8621426871267416,1.5968691143825307,125.2641119003296,125.26411391752397
