2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 167 round 9: NSR=2749.40 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 185 round 9: NSR=2774.68 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 195 round 9: NSR=2709.61 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 201 round 9: NSR=2067.68 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 244 round 9: NSR=2784.49 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 258 round 9: NSR=2792.20 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 262 round 9: NSR=3031.20 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 263 round 9: NSR=3563.63 exceeds 2000.0
2026-05-01 17:14:16 | WARNING | dpfl.algorithms.noise_game.simulator | Node 296 round 9: NSR=2756.64 exceeds 2000.0
2026-05-01 17:14:18 | INFO    | dpfl.core.base_simulator | Round  10/50 | Acc: 0.8605 | Loss: 0.5392 | eps_max: 1.48 eps_avg: 0.54 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:18 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['4.73', '2.91', '3.75', '2.92', '3.79'], attacker: []
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 0 round 10: NSR=3000.78 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 3 round 10: NSR=3037.81 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 8 round 10: NSR=3378.93 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 21 round 10: NSR=3103.17 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 54 round 10: NSR=2915.22 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 74 round 10: NSR=2959.30 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 97 round 10: NSR=3211.03 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 102 round 10: NSR=3041.33 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 121 round 10: NSR=2935.67 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 154 round 10: NSR=3008.80 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 162 round 10: NSR=3029.51 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 210 round 10: NSR=3069.50 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 239 round 10: NSR=3031.76 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 263 round 10: NSR=2455.63 exceeds 2000.0
2026-05-01 17:14:19 | WARNING | dpfl.algorithms.noise_game.simulator | Node 264 round 10: NSR=4184.85 exceeds 2000.0
2026-05-01 17:14:20 | WARNING | dpfl.algorithms.noise_game.simulator | Node 285 round 10: NSR=2976.56 exceeds 2000.0
2026-05-01 17:14:20 | WARNING | dpfl.algorithms.noise_game.simulator | Node 289 round 10: NSR=2956.86 exceeds 2000.0
2026-05-01 17:14:20 | WARNING | dpfl.algorithms.noise_game.simulator | Node 295 round 10: NSR=2784.31 exceeds 2000.0
2026-05-01 17:14:20 | WARNING | dpfl.algorithms.noise_game.simulator | Node 296 round 10: NSR=3033.78 exceeds 2000.0
2026-05-01 17:14:21 | INFO    | dpfl.core.base_simulator | Round  11/50 | Acc: 0.8642 | Loss: 0.5172 | eps_max: 1.49 eps_avg: 0.60 | P: 0.00 R: 0.00 F1: 0.00
