algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,10,3.473939041874662,0.8582156463464101,0.5284706736604373,0.0,3.4114757498105366,0.0,1000.0,0.0,0.0,206.52994639078776,0.0,223.61092122395834,0.0,1.8715369269777966,0.0,1.4019001268595508,0.0,1.4019001268595508,0.0,223.61092122395834,0.0,0.8567908267180125,0.0,2223.7370723118593,0.0,1.8715369269777966,1.339687061744872,0.8567908267180125,1.4019001268595508,22.361092122395835,222.37370723118593
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,11,3.626779824882668,0.8582753116885821,0.5195809037486712,0.0,3.9566983819007873,0.0,1000.0,0.0,0.0,302.34984385172527,0.0,219.94981129964194,0.0,1.9666790951527824,0.0,1.3777543964656913,0.0,1.3777543964656913,0.0,219.94981129964194,0.0,0.8478872736295064,0.0,2247.3539512189764,0.0,1.9666790951527824,1.3519786914620673,0.8478872736295064,1.3777543964656913,21.99498112996419,224.73539512189765
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,12,3.626779824882668,0.8617276455958685,0.500451380610466,0.0,3.624230824667832,0.0,1000.0,0.0,0.0,221.77821718413253,0.0,207.78113266517377,0.0,2.1062509501840134,0.0,1.302018591019423,0.0,1.302018591019423,0.0,207.78113266517377,0.0,0.8826385572038847,0.0,2350.9858681105425,0.0,2.1062509501840134,1.3442650562844274,0.8826385572038847,1.302018591019423,20.085509490966796,227.26196725068576
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,13,3.731209711726552,0.8624563131729762,0.4941839645306269,0.0,3.6344291418790817,0.0,1000.0,0.0,0.0,238.3076686859131,0.0,210.91025161743164,0.0,2.218917513599738,0.0,1.3231649213081869,0.0,1.3231649213081869,0.0,210.91025161743164,0.0,0.8321047723293304,0.0,2442.4913709424936,0.0,2.218917513599738,1.341776256550491,0.8321047723293304,1.3231649213081869,22.497093505859375,260.5324129005327
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,14,3.808509104066969,0.863960311015447,0.48283198833465574,0.0,3.9378296622523554,0.0,1000.0,0.0,0.0,222.80655359338832,0.0,204.0108405219184,0.0,2.3001842742679037,0.0,1.2802188730172561,0.0,1.2802188730172561,0.0,204.0108405219184,0.0,0.8380796379513211,0.0,2594.4364827401964,0.0,2.3001842742679037,1.3476317647071385,0.8380796379513211,1.2802188730172561,18.360975646972655,233.49928344661774
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,15,3.808509104066969,0.8656923105319341,0.4729761486252149,0.0,4.01782907092053,0.0,1000.0,0.0,0.0,219.76551586648694,0.0,204.70800515879756,0.0,2.3571856558724242,0.0,1.2838458861506803,0.0,1.2838458861506803,0.0,204.70800515879756,0.0,0.7999685238236967,0.0,2642.2420914386234,0.0,2.3571856558724242,1.3608087382153427,0.7999685238236967,1.2838458861506803,15.694280395507812,202.57189367696114
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,16,4.035287660152794,0.8647109790643056,0.47214056690533956,0.0,4.415075730394434,0.0,1000.0,0.0,0.0,285.1833773012514,0.0,191.25250526710792,0.0,2.4588693616322397,0.0,1.1981444493451525,0.0,1.1981444493451525,0.0,191.25250526710792,0.0,0.8462946127962183,0.0,2604.1855212600267,0.0,2.4588693616322397,1.3629348445842924,0.8462946127962183,1.1981444493451525,17.212725474039715,234.37669691340247
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,17,4.247214005842271,0.8662046446402868,0.4635944837331772,0.0,3.9325028191442075,0.0,1000.0,0.0,0.0,203.6347145412279,0.0,195.61071976371434,0.0,2.541333816660824,0.0,1.2267655720671304,0.0,1.2267655720671304,0.0,195.61071976371434,0.0,0.7789457181225652,0.0,2705.855234500177,0.0,2.541333816660824,1.3603950845152084,0.7789457181225652,1.2267655720671304,14.996821848551432,207.44890131168023
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,18,4.247214005842271,0.8641649784644445,0.46732180247704186,0.0,4.325509305923216,0.0,1000.0,0.0,0.0,336.0689529911164,0.0,193.22930809759325,0.0,2.659969427798515,0.0,1.2106017730355392,0.0,1.2106017730355392,0.0,193.22930809759325,0.0,0.7551397758145486,0.0,2722.435179340805,0.0,2.659969427798515,1.3579579257904661,0.7551397758145486,1.2106017730355392,19.967028503417968,281.3183018652166
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,19,4.44520195722272,0.8651916434367498,0.4657801818847656,0.0,4.4887461094629195,0.0,1000.0,0.0,0.0,226.61800820486886,0.0,181.23157828194755,0.0,2.7535681180579785,0.0,1.1380143928670714,0.0,1.1380143928670714,0.0,181.23157828194755,0.0,0.7896467007341839,0.0,2494.317161530302,0.0,2.7535681180579785,1.3566387891680283,0.7896467007341839,1.1380143928670714,12.686210479736328,174.60220130712113
